#    L    TT             EE             BB             TE          
     2   0.101614E+04   0.308800E-01   0.183008E-05   0.262089E+01
     3   0.962778E+03   0.396892E-01   0.366064E-05   0.293965E+01
     4   0.911427E+03   0.344974E-01   0.610211E-05   0.275825E+01
     5   0.873156E+03   0.230964E-01   0.915511E-05   0.235025E+01
     6   0.847107E+03   0.129532E-01   0.128204E-04   0.189416E+01
     7   0.830637E+03   0.700138E-02   0.170989E-04   0.148891E+01
     8   0.820832E+03   0.450196E-02   0.219916E-04   0.117796E+01
     9   0.816339E+03   0.360364E-02   0.274998E-04   0.966767E+00
    10   0.815722E+03   0.307513E-02   0.336246E-04   0.847370E+00
    11   0.817601E+03   0.259643E-02   0.403674E-04   0.802407E+00
    12   0.822708E+03   0.227875E-02   0.477298E-04   0.812911E+00
    13   0.829145E+03   0.219590E-02   0.557132E-04   0.855268E+00
    14   0.836747E+03   0.228755E-02   0.643194E-04   0.908411E+00
    15   0.844465E+03   0.247237E-02   0.735500E-04   0.964812E+00
    16   0.854081E+03   0.273035E-02   0.834068E-04   0.102599E+01
    17   0.865442E+03   0.310410E-02   0.938915E-04   0.108941E+01
    18   0.877405E+03   0.363727E-02   0.105006E-03   0.115382E+01
    19   0.890727E+03   0.433350E-02   0.116752E-03   0.122241E+01
    20   0.903800E+03   0.517028E-02   0.129131E-03   0.129015E+01
    21   0.917318E+03   0.614113E-02   0.142145E-03   0.136161E+01
    22   0.931311E+03   0.725699E-02   0.155797E-03   0.143716E+01
    23   0.945394E+03   0.851004E-02   0.170086E-03   0.151413E+01
    24   0.959885E+03   0.989736E-02   0.185016E-03   0.158909E+01
    25   0.974920E+03   0.114236E-01   0.200588E-03   0.165427E+01
    26   0.990007E+03   0.131010E-01   0.216803E-03   0.171333E+01
    27   0.100555E+04   0.149405E-01   0.233663E-03   0.176708E+01
    28   0.102139E+04   0.169361E-01   0.251169E-03   0.181074E+01
    29   0.103744E+04   0.191140E-01   0.269322E-03   0.184936E+01
    30   0.105390E+04   0.215028E-01   0.288123E-03   0.187630E+01
    31   0.107015E+04   0.240987E-01   0.307574E-03   0.190235E+01
    32   0.108700E+04   0.269178E-01   0.327674E-03   0.192243E+01
    33   0.110394E+04   0.299198E-01   0.348426E-03   0.193504E+01
    34   0.112094E+04   0.331300E-01   0.369829E-03   0.194121E+01
    35   0.113858E+04   0.365553E-01   0.391884E-03   0.193178E+01
    36   0.115594E+04   0.402244E-01   0.414592E-03   0.191701E+01
    37   0.117356E+04   0.441625E-01   0.437952E-03   0.189107E+01
    38   0.119155E+04   0.483578E-01   0.461964E-03   0.185596E+01
    39   0.120981E+04   0.527999E-01   0.486629E-03   0.181147E+01
    40   0.122826E+04   0.574812E-01   0.511947E-03   0.175583E+01
    41   0.124681E+04   0.623985E-01   0.537916E-03   0.168781E+01
    42   0.126547E+04   0.675647E-01   0.564538E-03   0.160841E+01
    43   0.128424E+04   0.729968E-01   0.591810E-03   0.151878E+01
    44   0.130317E+04   0.787093E-01   0.619733E-03   0.141846E+01
    45   0.132234E+04   0.847142E-01   0.648306E-03   0.130669E+01
    46   0.134171E+04   0.910186E-01   0.677528E-03   0.118312E+01
    47   0.136126E+04   0.976228E-01   0.707399E-03   0.104720E+01
    48   0.138096E+04   0.104518E+00   0.737917E-03   0.898325E+00
    49   0.140081E+04   0.111697E+00   0.769081E-03   0.735951E+00
    50   0.142085E+04   0.119159E+00   0.800892E-03   0.559679E+00
    51   0.144115E+04   0.126910E+00   0.833347E-03   0.369417E+00
    52   0.146165E+04   0.134954E+00   0.866445E-03   0.166118E+00
    53   0.148229E+04   0.143291E+00   0.900187E-03  -0.492153E-01
    54   0.150304E+04   0.151926E+00   0.934570E-03  -0.276441E+00
    55   0.152389E+04   0.160860E+00   0.969594E-03  -0.515784E+00
    56   0.154497E+04   0.170093E+00   0.100526E-02  -0.768116E+00
    57   0.156637E+04   0.179619E+00   0.104156E-02  -0.103431E+01
    58   0.158805E+04   0.189438E+00   0.107850E-02  -0.131458E+01
    59   0.160991E+04   0.199550E+00   0.111608E-02  -0.160883E+01
    60   0.163195E+04   0.209946E+00   0.115430E-02  -0.191657E+01
    61   0.165417E+04   0.220620E+00   0.119315E-02  -0.223731E+01
    62   0.167657E+04   0.231567E+00   0.123264E-02  -0.257106E+01
    63   0.169917E+04   0.242786E+00   0.127277E-02  -0.291797E+01
    64   0.172198E+04   0.254275E+00   0.131353E-02  -0.327815E+01
    65   0.174502E+04   0.266032E+00   0.135493E-02  -0.365180E+01
    66   0.176833E+04   0.278050E+00   0.139697E-02  -0.403913E+01
    67   0.179190E+04   0.290324E+00   0.143964E-02  -0.443960E+01
    68   0.181567E+04   0.302842E+00   0.148295E-02  -0.485250E+01
    69   0.183962E+04   0.315598E+00   0.152689E-02  -0.527713E+01
    70   0.186370E+04   0.328585E+00   0.157148E-02  -0.571299E+01
    71   0.188790E+04   0.341799E+00   0.161670E-02  -0.615990E+01
    72   0.191232E+04   0.355235E+00   0.166257E-02  -0.661876E+01
    73   0.193709E+04   0.368889E+00   0.170907E-02  -0.709055E+01
    74   0.196222E+04   0.382748E+00   0.175622E-02  -0.757514E+01
    75   0.198769E+04   0.396803E+00   0.180401E-02  -0.807212E+01
    76   0.201348E+04   0.411037E+00   0.185245E-02  -0.858093E+01
    77   0.203946E+04   0.425440E+00   0.190154E-02  -0.910012E+01
    78   0.206560E+04   0.440001E+00   0.195128E-02  -0.962924E+01
    79   0.209196E+04   0.454708E+00   0.200167E-02  -0.101681E+02
    80   0.211855E+04   0.469550E+00   0.205271E-02  -0.107168E+02
    81   0.214539E+04   0.484514E+00   0.210441E-02  -0.112749E+02
    82   0.217250E+04   0.499592E+00   0.215677E-02  -0.118421E+02
    83   0.219986E+04   0.514772E+00   0.220979E-02  -0.124182E+02
    84   0.222746E+04   0.530042E+00   0.226348E-02  -0.130026E+02
    85   0.225531E+04   0.545392E+00   0.231783E-02  -0.135950E+02
    86   0.228338E+04   0.560812E+00   0.237285E-02  -0.141949E+02
    87   0.231166E+04   0.576289E+00   0.242855E-02  -0.148018E+02
    88   0.234013E+04   0.591810E+00   0.248492E-02  -0.154152E+02
    89   0.236878E+04   0.607362E+00   0.254197E-02  -0.160347E+02
    90   0.239763E+04   0.622927E+00   0.259970E-02  -0.166599E+02
    91   0.242669E+04   0.638493E+00   0.265812E-02  -0.172903E+02
    92   0.245595E+04   0.654044E+00   0.271723E-02  -0.179258E+02
    93   0.248544E+04   0.669566E+00   0.277703E-02  -0.185658E+02
    94   0.251514E+04   0.685047E+00   0.283752E-02  -0.192100E+02
    95   0.254507E+04   0.700470E+00   0.289871E-02  -0.198581E+02
    96   0.257522E+04   0.715823E+00   0.296061E-02  -0.205095E+02
    97   0.260559E+04   0.731091E+00   0.302321E-02  -0.211638E+02
    98   0.263619E+04   0.746257E+00   0.308653E-02  -0.218205E+02
    99   0.266700E+04   0.761309E+00   0.315055E-02  -0.224792E+02
   100   0.269804E+04   0.776235E+00   0.321529E-02  -0.231394E+02
   101   0.272929E+04   0.791020E+00   0.328076E-02  -0.238005E+02
   102   0.276075E+04   0.805642E+00   0.334695E-02  -0.244623E+02
   103   0.279242E+04   0.820101E+00   0.341386E-02  -0.251238E+02
   104   0.282429E+04   0.834368E+00   0.348151E-02  -0.257849E+02
   105   0.285636E+04   0.848436E+00   0.354989E-02  -0.264448E+02
   106   0.288861E+04   0.862289E+00   0.361902E-02  -0.271030E+02
   107   0.292104E+04   0.875922E+00   0.368888E-02  -0.277589E+02
   108   0.295364E+04   0.889312E+00   0.375950E-02  -0.284121E+02
   109   0.298642E+04   0.902451E+00   0.383087E-02  -0.290617E+02
   110   0.301935E+04   0.915318E+00   0.390299E-02  -0.297075E+02
   111   0.305244E+04   0.927905E+00   0.397587E-02  -0.303489E+02
   112   0.308567E+04   0.940206E+00   0.404952E-02  -0.309851E+02
   113   0.311905E+04   0.952197E+00   0.412394E-02  -0.316158E+02
   114   0.315257E+04   0.963863E+00   0.419913E-02  -0.322402E+02
   115   0.318621E+04   0.975205E+00   0.427510E-02  -0.328579E+02
   116   0.321998E+04   0.986208E+00   0.435186E-02  -0.334683E+02
   117   0.325387E+04   0.996848E+00   0.442940E-02  -0.340708E+02
   118   0.328786E+04   0.100713E+01   0.450773E-02  -0.346648E+02
   119   0.332195E+04   0.101703E+01   0.458686E-02  -0.352499E+02
   120   0.335614E+04   0.102654E+01   0.466680E-02  -0.358254E+02
   121   0.339041E+04   0.103566E+01   0.474755E-02  -0.363907E+02
   122   0.342475E+04   0.104437E+01   0.482911E-02  -0.369454E+02
   123   0.345916E+04   0.105267E+01   0.491148E-02  -0.374889E+02
   124   0.349364E+04   0.106053E+01   0.499469E-02  -0.380205E+02
   125   0.352816E+04   0.106797E+01   0.507872E-02  -0.385398E+02
   126   0.356272E+04   0.107496E+01   0.516360E-02  -0.390464E+02
   127   0.359732E+04   0.108150E+01   0.524931E-02  -0.395395E+02
   128   0.363193E+04   0.108759E+01   0.533588E-02  -0.400187E+02
   129   0.366657E+04   0.109322E+01   0.542330E-02  -0.404835E+02
   130   0.370121E+04   0.109837E+01   0.551159E-02  -0.409333E+02
   131   0.373585E+04   0.110304E+01   0.560074E-02  -0.413676E+02
   132   0.377048E+04   0.110725E+01   0.569077E-02  -0.417860E+02
   133   0.380508E+04   0.111096E+01   0.578168E-02  -0.421879E+02
