#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.101614E+04   0.308782E-01   0.000000E+00   0.262089E+01   0.501649E-07   0.298803E-02  -0.122360E-04
     3   0.962772E+03   0.396855E-01   0.000000E+00   0.293965E+01   0.610331E-07   0.298727E-02  -0.131246E-04
     4   0.911416E+03   0.344913E-01   0.000000E+00   0.275825E+01   0.703077E-07   0.291237E-02  -0.111107E-04
     5   0.873140E+03   0.230873E-01   0.000000E+00   0.235026E+01   0.783502E-07   0.281078E-02  -0.757298E-05
     6   0.847084E+03   0.129404E-01   0.000000E+00   0.189416E+01   0.853693E-07   0.270259E-02  -0.368175E-05
     7   0.830606E+03   0.698428E-02   0.000000E+00   0.148892E+01   0.915493E-07   0.259736E-02  -0.330926E-06
     8   0.820792E+03   0.447997E-02   0.000000E+00   0.117797E+01   0.970183E-07   0.249525E-02   0.190999E-05
     9   0.816290E+03   0.357615E-02   0.000000E+00   0.966774E+00   0.101886E-06   0.239496E-02   0.283595E-05
    10   0.815662E+03   0.304150E-02   0.000000E+00   0.847380E+00   0.106221E-06   0.229842E-02   0.262407E-05
    11   0.817530E+03   0.255607E-02   0.000000E+00   0.802421E+00   0.110119E-06   0.220993E-02   0.171732E-05
    12   0.822624E+03   0.223102E-02   0.000000E+00   0.812931E+00   0.113582E-06   0.212856E-02   0.584342E-06
    13   0.829048E+03   0.214019E-02   0.000000E+00   0.855294E+00   0.116713E-06   0.205690E-02  -0.444758E-06
    14   0.836635E+03   0.222324E-02   0.000000E+00   0.908446E+00   0.119500E-06   0.198766E-02  -0.117785E-05
    15   0.844338E+03   0.239884E-02   0.000000E+00   0.964857E+00   0.122019E-06   0.192133E-02  -0.148947E-05
    16   0.853937E+03   0.264697E-02   0.000000E+00   0.102605E+01   0.124272E-06   0.185523E-02  -0.131661E-05
    17   0.865281E+03   0.301024E-02   0.000000E+00   0.108948E+01   0.126287E-06   0.179102E-02  -0.828082E-06
    18   0.877226E+03   0.353231E-02   0.000000E+00   0.115391E+01   0.128098E-06   0.173123E-02  -0.252897E-06
    19   0.890530E+03   0.421680E-02   0.000000E+00   0.122252E+01   0.129716E-06   0.167567E-02   0.158065E-06
    20   0.903583E+03   0.504122E-02   0.000000E+00   0.129028E+01   0.131149E-06   0.162356E-02   0.222993E-06
    21   0.917081E+03   0.599909E-02   0.000000E+00   0.136177E+01   0.132417E-06   0.157429E-02   0.484211E-07
    22   0.931054E+03   0.710133E-02   0.000000E+00   0.143735E+01   0.133544E-06   0.152737E-02  -0.205959E-06
    23   0.945115E+03   0.834013E-02   0.000000E+00   0.151435E+01   0.134536E-06   0.148264E-02  -0.447266E-06
    24   0.959584E+03   0.971257E-02   0.000000E+00   0.158935E+01   0.135402E-06   0.144001E-02  -0.618527E-06
    25   0.974596E+03   0.112233E-01   0.000000E+00   0.165457E+01   0.136152E-06   0.139941E-02  -0.738066E-06
    26   0.989660E+03   0.128846E-01   0.000000E+00   0.171368E+01   0.136799E-06   0.136071E-02  -0.824981E-06
    27   0.100518E+04   0.147073E-01   0.000000E+00   0.176747E+01   0.137350E-06   0.132355E-02  -0.827801E-06
    28   0.102100E+04   0.166855E-01   0.000000E+00   0.181118E+01   0.137813E-06   0.128768E-02  -0.699704E-06
    29   0.103702E+04   0.188454E-01   0.000000E+00   0.184986E+01   0.138188E-06   0.125330E-02  -0.481360E-06
    30   0.105345E+04   0.212155E-01   0.000000E+00   0.187686E+01   0.138476E-06   0.122065E-02  -0.244837E-06
    31   0.106968E+04   0.237922E-01   0.000000E+00   0.190297E+01   0.138688E-06   0.118961E-02  -0.101618E-06
    32   0.108651E+04   0.265914E-01   0.000000E+00   0.192313E+01   0.138837E-06   0.115997E-02  -0.140493E-06
    33   0.110342E+04   0.295729E-01   0.000000E+00   0.193581E+01   0.138925E-06   0.113156E-02  -0.321998E-06
    34   0.112039E+04   0.327620E-01   0.000000E+00   0.194206E+01   0.138955E-06   0.110420E-02  -0.565686E-06
    35   0.113800E+04   0.361655E-01   0.000000E+00   0.193271E+01   0.138931E-06   0.107765E-02  -0.754156E-06
    36   0.115533E+04   0.398122E-01   0.000000E+00   0.191803E+01   0.138858E-06   0.105179E-02  -0.789742E-06
    37   0.117293E+04   0.437275E-01   0.000000E+00   0.189218E+01   0.138738E-06   0.102702E-02  -0.689119E-06
    38   0.119089E+04   0.478993E-01   0.000000E+00   0.185717E+01   0.138576E-06   0.100371E-02  -0.501816E-06
    39   0.120912E+04   0.523172E-01   0.000000E+00   0.181278E+01   0.138374E-06   0.981648E-03  -0.295228E-06
    40   0.122754E+04   0.569738E-01   0.000000E+00   0.175724E+01   0.138133E-06   0.960466E-03  -0.140992E-06
    41   0.124606E+04   0.618659E-01   0.000000E+00   0.168933E+01   0.137855E-06   0.939873E-03  -0.922959E-07
    42   0.126468E+04   0.670063E-01   0.000000E+00   0.161004E+01   0.137543E-06   0.919820E-03  -0.129454E-06
    43   0.128343E+04   0.724120E-01   0.000000E+00   0.152052E+01   0.137199E-06   0.900316E-03  -0.214708E-06
    44   0.130233E+04   0.780977E-01   0.000000E+00   0.142031E+01   0.136826E-06   0.881371E-03  -0.310437E-06
    45   0.132147E+04   0.840751E-01   0.000000E+00   0.130865E+01   0.136426E-06   0.862997E-03  -0.379139E-06
    46   0.134081E+04   0.903515E-01   0.000000E+00   0.118519E+01   0.136002E-06   0.845198E-03  -0.394345E-06
    47   0.136032E+04   0.969273E-01   0.000000E+00   0.104939E+01   0.135554E-06   0.827954E-03  -0.373313E-06
    48   0.138000E+04   0.103794E+00   0.000000E+00   0.900634E+00   0.135086E-06   0.811238E-03  -0.344159E-06
    49   0.139981E+04   0.110943E+00   0.000000E+00   0.738374E+00   0.134598E-06   0.795022E-03  -0.334920E-06
    50   0.141982E+04   0.118375E+00   0.000000E+00   0.562214E+00   0.134091E-06   0.779279E-03  -0.373567E-06
    51   0.144009E+04   0.126096E+00   0.000000E+00   0.372064E+00   0.133569E-06   0.763992E-03  -0.477596E-06
    52   0.146056E+04   0.134108E+00   0.000000E+00   0.168873E+00   0.133031E-06   0.749172E-03  -0.622845E-06
    53   0.148116E+04   0.142415E+00   0.000000E+00  -0.463560E-01   0.132478E-06   0.734840E-03  -0.774811E-06
    54   0.150188E+04   0.151018E+00   0.000000E+00  -0.273481E+00   0.131913E-06   0.721015E-03  -0.899066E-06
    55   0.152271E+04   0.159920E+00   0.000000E+00  -0.512730E+00   0.131335E-06   0.707718E-03  -0.961248E-06
    56   0.154375E+04   0.169120E+00   0.000000E+00  -0.764972E+00   0.130745E-06   0.694957E-03  -0.937618E-06
    57   0.156511E+04   0.178614E+00   0.000000E+00  -0.103109E+01   0.130145E-06   0.682687E-03  -0.846672E-06
    58   0.158676E+04   0.188400E+00   0.000000E+00  -0.131128E+01   0.129535E-06   0.670852E-03  -0.717412E-06
    59   0.160859E+04   0.198478E+00   0.000000E+00  -0.160547E+01   0.128915E-06   0.659394E-03  -0.578785E-06
    60   0.163060E+04   0.208840E+00   0.000000E+00  -0.191315E+01   0.128285E-06   0.648259E-03  -0.459685E-06
    61   0.165278E+04   0.219480E+00   0.000000E+00  -0.223384E+01   0.127648E-06   0.637393E-03  -0.383733E-06
    62   0.167515E+04   0.230393E+00   0.000000E+00  -0.256757E+01   0.127003E-06   0.626768E-03  -0.353608E-06
    63   0.169771E+04   0.241577E+00   0.000000E+00  -0.291445E+01   0.126351E-06   0.616360E-03  -0.366763E-06
    64   0.172049E+04   0.253031E+00   0.000000E+00  -0.327463E+01   0.125694E-06   0.606144E-03  -0.420658E-06
    65   0.174350E+04   0.264753E+00   0.000000E+00  -0.364828E+01   0.125032E-06   0.596095E-03  -0.512762E-06
    66   0.176677E+04   0.276736E+00   0.000000E+00  -0.403564E+01   0.124367E-06   0.586201E-03  -0.637752E-06
    67   0.179030E+04   0.288973E+00   0.000000E+00  -0.443615E+01   0.123699E-06   0.576495E-03  -0.779140E-06
    68   0.181404E+04   0.301456E+00   0.000000E+00  -0.484911E+01   0.123028E-06   0.567021E-03  -0.917668E-06
    69   0.183795E+04   0.314176E+00   0.000000E+00  -0.527382E+01   0.122355E-06   0.557823E-03  -0.103410E-05
    70   0.186200E+04   0.327127E+00   0.000000E+00  -0.570979E+01   0.121680E-06   0.548946E-03  -0.110923E-05
    71   0.188616E+04   0.340304E+00   0.000000E+00  -0.615682E+01   0.121004E-06   0.540419E-03  -0.112927E-05
    72   0.191056E+04   0.353704E+00   0.000000E+00  -0.661583E+01   0.120326E-06   0.532224E-03  -0.110201E-05
