#           k/h    P           
   0.100000E-03   0.417273E+03
   0.102020E-03   0.425410E+03
   0.104081E-03   0.433705E+03
   0.106184E-03   0.442161E+03
   0.108329E-03   0.450783E+03
   0.110517E-03   0.459572E+03
   0.112750E-03   0.468532E+03
   0.115027E-03   0.477667E+03
   0.117351E-03   0.486979E+03
   0.119722E-03   0.496473E+03
   0.122140E-03   0.506152E+03
   0.124608E-03   0.516019E+03
   0.127125E-03   0.526078E+03
   0.129693E-03   0.536333E+03
   0.132313E-03   0.546788E+03
   0.134986E-03   0.557446E+03
   0.137713E-03   0.568311E+03
   0.140495E-03   0.579388E+03
   0.143333E-03   0.590680E+03
   0.146228E-03   0.602192E+03
   0.149182E-03   0.613928E+03
   0.152196E-03   0.625892E+03
   0.155271E-03   0.638088E+03
   0.158407E-03   0.650522E+03
   0.161607E-03   0.663197E+03
   0.164872E-03   0.676119E+03
   0.168203E-03   0.689291E+03
   0.171601E-03   0.702720E+03
   0.175067E-03   0.716409E+03
   0.178604E-03   0.730365E+03
   0.182212E-03   0.744591E+03
   0.185893E-03   0.759093E+03
   0.189648E-03   0.773877E+03
   0.193479E-03   0.788948E+03
   0.197388E-03   0.804311E+03
   0.201375E-03   0.819973E+03
   0.205443E-03   0.835938E+03
   0.209594E-03   0.852212E+03
   0.213828E-03   0.868802E+03
   0.218147E-03   0.885714E+03
   0.222554E-03   0.902953E+03
   0.227050E-03   0.920526E+03
   0.231637E-03   0.938440E+03
   0.236316E-03   0.956700E+03
   0.241090E-03   0.975314E+03
   0.245960E-03   0.994288E+03
   0.250929E-03   0.101363E+04
   0.255998E-03   0.103334E+04
   0.261170E-03   0.105344E+04
   0.266446E-03   0.107392E+04
   0.271828E-03   0.109480E+04
   0.277319E-03   0.111608E+04
   0.282922E-03   0.113778E+04
   0.288637E-03   0.115989E+04
   0.294468E-03   0.118243E+04
   0.300417E-03   0.120540E+04
   0.306485E-03   0.122881E+04
   0.312677E-03   0.125268E+04
   0.318993E-03   0.127701E+04
   0.325437E-03   0.130180E+04
   0.332012E-03   0.132707E+04
   0.338719E-03   0.135282E+04
   0.345561E-03   0.137907E+04
   0.352542E-03   0.140583E+04
   0.359664E-03   0.143309E+04
   0.366930E-03   0.146088E+04
   0.374342E-03   0.148920E+04
   0.381904E-03   0.151807E+04
   0.389619E-03   0.154748E+04
   0.397490E-03   0.157746E+04
   0.405520E-03   0.160801E+04
   0.413712E-03   0.163914E+04
   0.422070E-03   0.167087E+04
   0.430596E-03   0.170320E+04
   0.439295E-03   0.173615E+04
   0.448169E-03   0.176973E+04
   0.457222E-03   0.180394E+04
   0.466459E-03   0.183880E+04
   0.475882E-03   0.187432E+04
   0.485496E-03   0.191052E+04
   0.495303E-03   0.194740E+04
   0.505309E-03   0.198498E+04
   0.515517E-03   0.202327E+04
   0.525931E-03   0.206228E+04
   0.536556E-03   0.210203E+04
   0.547395E-03   0.214252E+04
   0.558453E-03   0.218378E+04
   0.569734E-03   0.222581E+04
   0.581244E-03   0.226863E+04
