#    L    TT             EE             BB             TE          
     2   0.101614E+04   0.308800E-01   0.179366E-05   0.262089E+01
     3   0.962778E+03   0.396891E-01   0.358779E-05   0.293965E+01
     4   0.911427E+03   0.344973E-01   0.598070E-05   0.275825E+01
     5   0.873156E+03   0.230962E-01   0.897300E-05   0.235025E+01
     6   0.847107E+03   0.129530E-01   0.125655E-04   0.189416E+01
     7   0.830637E+03   0.700104E-02   0.167590E-04   0.148891E+01
     8   0.820832E+03   0.450153E-02   0.215546E-04   0.117796E+01
     9   0.816339E+03   0.360310E-02   0.269535E-04   0.966767E+00
    10   0.815722E+03   0.307446E-02   0.329570E-04   0.847370E+00
    11   0.817601E+03   0.259563E-02   0.395664E-04   0.802407E+00
    12   0.822708E+03   0.227780E-02   0.467832E-04   0.812911E+00
    13   0.829145E+03   0.219480E-02   0.546090E-04   0.855268E+00
    14   0.836747E+03   0.228628E-02   0.630454E-04   0.908411E+00
    15   0.844465E+03   0.247092E-02   0.720941E-04   0.964812E+00
    16   0.854081E+03   0.272870E-02   0.817570E-04   0.102599E+01
    17   0.865442E+03   0.310224E-02   0.920356E-04   0.108941E+01
    18   0.877404E+03   0.363520E-02   0.102932E-03   0.115382E+01
    19   0.890727E+03   0.433120E-02   0.114448E-03   0.122241E+01
    20   0.903799E+03   0.516773E-02   0.126585E-03   0.129014E+01
    21   0.917318E+03   0.613833E-02   0.139345E-03   0.136161E+01
    22   0.931311E+03   0.725393E-02   0.152730E-03   0.143716E+01
    23   0.945394E+03   0.850669E-02   0.166741E-03   0.151413E+01
    24   0.959885E+03   0.989373E-02   0.181380E-03   0.158909E+01
    25   0.974920E+03   0.114196E-01   0.196650E-03   0.165427E+01
    26   0.990006E+03   0.130967E-01   0.212550E-03   0.171333E+01
    27   0.100555E+04   0.149359E-01   0.229083E-03   0.176708E+01
    28   0.102139E+04   0.169312E-01   0.246250E-03   0.181074E+01
    29   0.103744E+04   0.191087E-01   0.264053E-03   0.184936E+01
    30   0.105390E+04   0.214972E-01   0.282491E-03   0.187630E+01
    31   0.107015E+04   0.240927E-01   0.301567E-03   0.190235E+01
    32   0.108700E+04   0.269115E-01   0.321281E-03   0.192243E+01
    33   0.110394E+04   0.299130E-01   0.341634E-03   0.193504E+01
    34   0.112094E+04   0.331228E-01   0.362627E-03   0.194120E+01
    35   0.113857E+04   0.365477E-01   0.384259E-03   0.193178E+01
    36   0.115594E+04   0.402163E-01   0.406532E-03   0.191701E+01
    37   0.117356E+04   0.441540E-01   0.429445E-03   0.189106E+01
    38   0.119155E+04   0.483489E-01   0.452999E-03   0.185595E+01
    39   0.120981E+04   0.527904E-01   0.477194E-03   0.181147E+01
    40   0.122826E+04   0.574713E-01   0.502028E-03   0.175582E+01
    41   0.124681E+04   0.623881E-01   0.527503E-03   0.168780E+01
    42   0.126546E+04   0.675538E-01   0.553618E-03   0.160841E+01
    43   0.128423E+04   0.729854E-01   0.580372E-03   0.151878E+01
    44   0.130317E+04   0.786974E-01   0.607764E-03   0.141846E+01
    45   0.132234E+04   0.847018E-01   0.635794E-03   0.130668E+01
    46   0.134171E+04   0.910056E-01   0.664462E-03   0.118311E+01
    47   0.136126E+04   0.976092E-01   0.693765E-03   0.104719E+01
    48   0.138096E+04   0.104504E+00   0.723705E-03   0.898319E+00
    49   0.140080E+04   0.111682E+00   0.754279E-03   0.735944E+00
    50   0.142085E+04   0.119144E+00   0.785486E-03   0.559671E+00
    51   0.144115E+04   0.126894E+00   0.817326E-03   0.369409E+00
    52   0.146165E+04   0.134937E+00   0.849798E-03   0.166109E+00
