#           k/h    P           
   0.100000E-03   0.278874E+03
   0.102020E-03   0.284312E+03
   0.104081E-03   0.289856E+03
   0.106184E-03   0.295508E+03
   0.108329E-03   0.301269E+03
   0.110517E-03   0.307144E+03
   0.112750E-03   0.313132E+03
   0.115027E-03   0.319237E+03
   0.117351E-03   0.325461E+03
   0.119722E-03   0.331807E+03
   0.122140E-03   0.338275E+03
   0.124608E-03   0.344870E+03
   0.127125E-03   0.351593E+03
   0.129693E-03   0.358447E+03
   0.132313E-03   0.365434E+03
   0.134986E-03   0.372557E+03
   0.137713E-03   0.379819E+03
   0.140495E-03   0.387222E+03
   0.143333E-03   0.394770E+03
   0.146228E-03   0.402464E+03
   0.149182E-03   0.410307E+03
   0.152196E-03   0.418303E+03
   0.155271E-03   0.426455E+03
   0.158407E-03   0.434765E+03
   0.161607E-03   0.443237E+03
   0.164872E-03   0.451873E+03
   0.168203E-03   0.460677E+03
   0.171601E-03   0.469653E+03
   0.175067E-03   0.478802E+03
   0.178604E-03   0.488129E+03
   0.182212E-03   0.497638E+03
   0.185893E-03   0.507331E+03
   0.189648E-03   0.517212E+03
   0.193479E-03   0.527285E+03
   0.197388E-03   0.537554E+03
   0.201375E-03   0.548022E+03
   0.205443E-03   0.558693E+03
   0.209594E-03   0.569570E+03
   0.213828E-03   0.580659E+03
   0.218147E-03   0.591963E+03
   0.222554E-03   0.603485E+03
   0.227050E-03   0.615231E+03
   0.231637E-03   0.627205E+03
   0.236316E-03   0.639410E+03
   0.241090E-03   0.651852E+03
   0.245960E-03   0.664534E+03
   0.250929E-03   0.677462E+03
   0.255998E-03   0.690639E+03
   0.261170E-03   0.704072E+03
   0.266446E-03   0.717764E+03
   0.271828E-03   0.731720E+03
   0.277319E-03   0.745946E+03
   0.282922E-03   0.760447E+03
   0.288637E-03   0.775227E+03
   0.294468E-03   0.790293E+03
   0.300417E-03   0.805649E+03
   0.306485E-03   0.821300E+03
   0.312677E-03   0.837254E+03
   0.318993E-03   0.853514E+03
   0.325437E-03   0.870088E+03
   0.332012E-03   0.886980E+03
   0.338719E-03   0.904196E+03
   0.345561E-03   0.921744E+03
   0.352542E-03   0.939628E+03
   0.359664E-03   0.957856E+03
   0.366930E-03   0.976433E+03
   0.374342E-03   0.995366E+03
   0.381904E-03   0.101466E+04
   0.389619E-03   0.103433E+04
   0.397490E-03   0.105437E+04
   0.405520E-03   0.107479E+04
   0.413712E-03   0.109560E+04
   0.422070E-03   0.111681E+04
   0.430596E-03   0.113843E+04
   0.439295E-03   0.116046E+04
   0.448169E-03   0.118290E+04
   0.457222E-03   0.120578E+04
   0.466459E-03   0.122908E+04
   0.475882E-03   0.125283E+04
   0.485496E-03   0.127703E+04
   0.495303E-03   0.130169E+04
   0.505309E-03   0.132681E+04
   0.515517E-03   0.135241E+04
   0.525931E-03   0.137849E+04
   0.536556E-03   0.140507E+04
   0.547395E-03   0.143214E+04
   0.558453E-03   0.145973E+04
   0.569734E-03   0.148783E+04
   0.581244E-03   0.151646E+04
   0.592986E-03   0.154563E+04
   0.604965E-03   0.157534E+04
   0.617186E-03   0.160560E+04
   0.629654E-03   0.163643E+04
   0.642374E-03   0.166784E+04
   0.655350E-03   0.169982E+04
   0.668589E-03   0.173241E+04
   0.682096E-03   0.176559E+04
   0.695875E-03   0.179939E+04
   0.709933E-03   0.183382E+04
   0.724274E-03   0.186888E+04
   0.738906E-03   0.190458E+04
   0.753832E-03   0.194095E+04
   0.769061E-03   0.197798E+04
   0.784597E-03   0.201569E+04
   0.800447E-03   0.205409E+04
   0.816617E-03   0.209318E+04
   0.833114E-03   0.213299E+04
   0.849944E-03   0.217353E+04
   0.867114E-03   0.221479E+04
   0.884631E-03   0.225680E+04
   0.902501E-03   0.229957E+04
   0.920733E-03   0.234311E+04
   0.939333E-03   0.238743E+04
   0.958309E-03   0.243254E+04
   0.977668E-03   0.247845E+04
   0.997418E-03   0.252518E+04
   0.101757E-02   0.257273E+04
   0.103812E-02   0.262113E+04
   0.105910E-02   0.267038E+04
   0.108049E-02   0.272050E+04
   0.110232E-02   0.277150E+04
   0.112459E-02   0.282339E+04
   0.114730E-02   0.287618E+04
   0.117048E-02   0.292989E+04
   0.119413E-02   0.298453E+04
   0.121825E-02   0.304011E+04
   0.124286E-02   0.309664E+04
   0.126797E-02   0.315414E+04
   0.129358E-02   0.321262E+04
   0.131971E-02   0.327208E+04
   0.134637E-02   0.333255E+04
   0.137357E-02   0.339404E+04
   0.140132E-02   0.345655E+04
   0.142963E-02   0.352011E+04
   0.145851E-02   0.358471E+04
