#    L    TT             EE             TE             PP             TP          
     2   0.101614E+04   0.308782E-01   0.262089E+01   0.104167E+07   0.278560E+05
     3   0.962772E+03   0.396855E-01   0.293965E+01   0.160425E+07   0.332317E+05
     4   0.911416E+03   0.344913E-01   0.275825E+01   0.210290E+07   0.356931E+05
     5   0.873140E+03   0.230873E-01   0.235026E+01   0.254306E+07   0.366247E+05
     6   0.847084E+03   0.129404E-01   0.189416E+01   0.293176E+07   0.367363E+05
     7   0.830606E+03   0.698428E-02   0.148892E+01   0.327666E+07   0.364163E+05
     8   0.820792E+03   0.447997E-02   0.117797E+01   0.358382E+07   0.358223E+05
     9   0.816290E+03   0.357615E-02   0.966774E+00   0.385861E+07   0.350305E+05
    10   0.815662E+03   0.304150E-02   0.847380E+00   0.410481E+07   0.341305E+05
    11   0.817530E+03   0.255607E-02   0.802421E+00   0.432697E+07   0.332288E+05
    12   0.822624E+03   0.223102E-02   0.812931E+00   0.452600E+07   0.323427E+05
    13   0.829048E+03   0.214019E-02   0.855294E+00   0.470659E+07   0.315343E+05
    14   0.836635E+03   0.222324E-02   0.908446E+00   0.486886E+07   0.307086E+05
    15   0.844338E+03   0.239884E-02   0.964857E+00   0.501626E+07   0.298838E+05
    16   0.853937E+03   0.264697E-02   0.102605E+01   0.514933E+07   0.290266E+05
    17   0.865281E+03   0.301024E-02   0.108948E+01   0.526951E+07   0.281689E+05
    18   0.877226E+03   0.353231E-02   0.115391E+01   0.537852E+07   0.273559E+05
    19   0.890530E+03   0.421680E-02   0.122252E+01   0.547703E+07   0.265891E+05
    20   0.903583E+03   0.504122E-02   0.129028E+01   0.556558E+07   0.258599E+05
    21   0.917081E+03   0.599909E-02   0.136177E+01   0.564524E+07   0.251613E+05
    22   0.931054E+03   0.710133E-02   0.143735E+01   0.571710E+07   0.244879E+05
    23   0.945115E+03   0.834013E-02   0.151435E+01   0.578168E+07   0.238389E+05
    24   0.959584E+03   0.971257E-02   0.158935E+01   0.583937E+07   0.232144E+05
    25   0.974596E+03   0.112233E-01   0.165457E+01   0.589078E+07   0.226146E+05
    26   0.989660E+03   0.128846E-01   0.171368E+01   0.593650E+07   0.220385E+05
    27   0.100518E+04   0.147073E-01   0.176747E+01   0.597702E+07   0.214814E+05
    28   0.102100E+04   0.166855E-01   0.181118E+01   0.601270E+07   0.209397E+05
    29   0.103702E+04   0.188454E-01   0.184986E+01   0.604361E+07   0.204174E+05
    30   0.105345E+04   0.212155E-01   0.187686E+01   0.606987E+07   0.199190E+05
    31   0.106968E+04   0.237922E-01   0.190297E+01   0.609202E+07   0.194432E+05
    32   0.108651E+04   0.265914E-01   0.192313E+01   0.611063E+07   0.189869E+05
    33   0.110342E+04   0.295729E-01   0.193581E+01   0.612591E+07   0.185476E+05
    34   0.112039E+04   0.327620E-01   0.194206E+01   0.613802E+07   0.181229E+05
    35   0.113800E+04   0.361655E-01   0.193271E+01   0.614715E+07   0.177090E+05
    36   0.115533E+04   0.398122E-01   0.191803E+01   0.615355E+07   0.173044E+05
    37   0.117293E+04   0.437275E-01   0.189218E+01   0.615740E+07   0.169157E+05
    38   0.119089E+04   0.478993E-01   0.185717E+01   0.615887E+07   0.165491E+05
    39   0.120912E+04   0.523172E-01   0.181278E+01   0.615809E+07   0.162014E+05
    40   0.122754E+04   0.569738E-01   0.175724E+01   0.615517E+07   0.158669E+05
    41   0.124606E+04   0.618659E-01   0.168933E+01   0.615023E+07   0.155407E+05
    42   0.126468E+04   0.670063E-01   0.161004E+01   0.614339E+07   0.152222E+05
    43   0.128343E+04   0.724120E-01   0.152052E+01   0.613478E+07   0.149116E+05
    44   0.130233E+04   0.780977E-01   0.142031E+01   0.612452E+07   0.146093E+05
    45   0.132147E+04   0.840751E-01   0.130865E+01   0.611275E+07   0.143154E+05
    46   0.134081E+04   0.903515E-01   0.118519E+01   0.609957E+07   0.140302E+05
    47   0.136032E+04   0.969273E-01   0.104939E+01   0.608510E+07   0.137534E+05
    48   0.138000E+04   0.103794E+00   0.900634E+00   0.606940E+07   0.134845E+05
    49   0.139981E+04   0.110943E+00   0.738374E+00   0.605258E+07   0.132233E+05
    50   0.141982E+04   0.118375E+00   0.562214E+00   0.603470E+07   0.129693E+05
    51   0.144009E+04   0.126096E+00   0.372064E+00   0.601586E+07   0.127223E+05
    52   0.146056E+04   0.134108E+00   0.168873E+00   0.599612E+07   0.124824E+05
    53   0.148116E+04   0.142415E+00  -0.463560E-01   0.597552E+07   0.122502E+05
    54   0.150188E+04   0.151018E+00  -0.273481E+00   0.595413E+07   0.120260E+05
    55   0.152271E+04   0.159920E+00  -0.512730E+00   0.593200E+07   0.118101E+05
    56   0.154375E+04   0.169120E+00  -0.764972E+00   0.590918E+07   0.116027E+05
    57   0.156511E+04   0.178614E+00  -0.103109E+01   0.588570E+07   0.114031E+05
    58   0.158676E+04   0.188400E+00  -0.131128E+01   0.586160E+07   0.112104E+05
    59   0.160859E+04   0.198478E+00  -0.160547E+01   0.583692E+07   0.110237E+05
    60   0.163060E+04   0.208840E+00  -0.191315E+01   0.581167E+07   0.108420E+05
    61   0.165278E+04   0.219480E+00  -0.223384E+01   0.578591E+07   0.106645E+05
    62   0.167515E+04   0.230393E+00  -0.256757E+01   0.575967E+07   0.104908E+05
    63   0.169771E+04   0.241577E+00  -0.291445E+01   0.573301E+07   0.103205E+05
    64   0.172049E+04   0.253031E+00  -0.327463E+01   0.570597E+07   0.101531E+05
    65   0.174350E+04   0.264753E+00  -0.364828E+01   0.567862E+07   0.998831E+04
    66   0.176677E+04   0.276736E+00  -0.403564E+01   0.565099E+07   0.982588E+04
    67   0.179030E+04   0.288973E+00  -0.443615E+01   0.562312E+07   0.966639E+04
    68   0.181404E+04   0.301456E+00  -0.484911E+01   0.559502E+07   0.951058E+04
    69   0.183795E+04   0.314176E+00  -0.527382E+01   0.556673E+07   0.935921E+04
    70   0.186200E+04   0.327127E+00  -0.570979E+01   0.553827E+07   0.921304E+04
