#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104976E-04   0.161765E+08   0.161765E+08   0.215599E+08   0.215597E+08   0.161791E+08   0.161765E+08   0.161765E+08   0.161840E+08  -0.533825E+00   0.116229E+08   0.116229E+08   0.645740E+01
   0.115913E-04   0.161765E+08   0.161765E+08   0.215579E+08   0.215577E+08   0.161791E+08   0.161765E+08   0.161765E+08   0.161840E+08  -0.533825E+00   0.116229E+08   0.116229E+08   0.712998E+01
   0.127990E-04   0.161765E+08   0.161765E+08   0.215556E+08   0.215553E+08   0.161790E+08   0.161765E+08   0.161765E+08   0.161840E+08  -0.533825E+00   0.116229E+08   0.116229E+08   0.787256E+01
   0.141325E-04   0.161765E+08   0.161765E+08   0.215527E+08   0.215523E+08   0.161790E+08   0.161765E+08   0.161765E+08   0.161840E+08  -0.533825E+00   0.116229E+08   0.116229E+08   0.869241E+01
   0.156050E-04   0.161765E+08   0.161765E+08   0.215492E+08   0.215487E+08   0.161790E+08   0.161765E+08   0.161765E+08   0.161840E+08  -0.533825E+00   0.116229E+08   0.116229E+08   0.959755E+01
   0.172309E-04   0.161765E+08   0.161765E+08   0.215449E+08   0.215444E+08   0.161790E+08   0.161765E+08   0.161765E+08   0.161840E+08  -0.533824E+00   0.116229E+08   0.116229E+08   0.105968E+02
   0.190261E-04   0.161765E+08   0.161765E+08   0.215397E+08   0.215390E+08   0.161789E+08   0.161765E+08   0.161765E+08   0.161840E+08  -0.533824E+00   0.116229E+08   0.116229E+08   0.116999E+02
   0.210084E-04   0.161765E+08   0.161765E+08   0.215334E+08   0.215325E+08   0.161789E+08   0.161765E+08   0.161765E+08   0.161840E+08  -0.533823E+00   0.116228E+08   0.116228E+08   0.129177E+02
   0.231973E-04   0.161764E+08   0.161764E+08   0.215256E+08   0.215246E+08   0.161789E+08   0.161764E+08   0.161764E+08   0.161839E+08  -0.533822E+00   0.116228E+08   0.116228E+08   0.142619E+02
   0.256142E-04   0.161764E+08   0.161764E+08   0.215162E+08   0.215150E+08   0.161788E+08   0.161764E+08   0.161764E+08   0.161839E+08  -0.533821E+00   0.116228E+08   0.116228E+08   0.157455E+02
   0.282829E-04   0.161764E+08   0.161764E+08   0.215047E+08   0.215032E+08   0.161787E+08   0.161764E+08   0.161764E+08   0.161839E+08  -0.533820E+00   0.116228E+08   0.116228E+08   0.173830E+02
   0.312296E-04   0.161764E+08   0.161764E+08   0.214907E+08   0.214889E+08   0.161786E+08   0.161764E+08   0.161764E+08   0.161839E+08  -0.533819E+00   0.116228E+08   0.116228E+08   0.191900E+02
   0.344834E-04   0.161763E+08   0.161763E+08   0.214736E+08   0.214714E+08   0.161785E+08   0.161763E+08   0.161763E+08   0.161838E+08  -0.533817E+00   0.116227E+08   0.116227E+08   0.211838E+02
   0.380762E-04   0.161763E+08   0.161763E+08   0.214528E+08   0.214501E+08   0.161784E+08   0.161763E+08   0.161763E+08   0.161838E+08  -0.533816E+00   0.116227E+08   0.116227E+08   0.233835E+02
   0.420433E-04   0.161762E+08   0.161762E+08   0.214275E+08   0.214242E+08   0.161782E+08   0.161762E+08   0.161762E+08   0.161837E+08  -0.533813E+00   0.116227E+08   0.116227E+08   0.258097E+02
   0.464237E-04   0.161761E+08   0.161761E+08   0.213966E+08   0.213926E+08   0.161780E+08   0.161762E+08   0.161761E+08   0.161836E+08  -0.533810E+00   0.116226E+08   0.116226E+08   0.284853E+02
   0.512605E-04   0.161761E+08   0.161761E+08   0.213591E+08   0.213542E+08   0.161778E+08   0.161761E+08   0.161761E+08   0.161835E+08  -0.533807E+00   0.116226E+08   0.116226E+08   0.314350E+02
   0.566013E-04   0.161760E+08   0.161759E+08   0.213134E+08   0.213074E+08   0.161775E+08   0.161760E+08   0.161760E+08   0.161834E+08  -0.533803E+00   0.116225E+08   0.116225E+08   0.346858E+02
   0.624985E-04   0.161758E+08   0.161758E+08   0.212578E+08   0.212505E+08   0.161772E+08   0.161758E+08   0.161758E+08   0.161832E+08  -0.533797E+00   0.116224E+08   0.116224E+08   0.382668E+02
   0.690101E-04   0.161757E+08   0.161757E+08   0.211902E+08   0.211814E+08   0.161767E+08   0.161757E+08   0.161757E+08   0.161831E+08  -0.533791E+00   0.116223E+08   0.116223E+08   0.422096E+02
   0.762002E-04   0.161755E+08   0.161755E+08   0.211080E+08   0.210973E+08   0.161762E+08   0.161755E+08   0.161755E+08   0.161828E+08  -0.533783E+00   0.116221E+08   0.116221E+08   0.465479E+02
