#    L    TT             EE             BB             TE          
     2   0.996319E+03   0.312128E-01   0.152058E-05   0.257371E+01
     3   0.941920E+03   0.406646E-01   0.304158E-05   0.290399E+01
     4   0.890035E+03   0.358451E-01   0.507024E-05   0.273697E+01
     5   0.851348E+03   0.243418E-01   0.760713E-05   0.234087E+01
     6   0.824996E+03   0.137988E-01   0.106529E-04   0.189224E+01
     7   0.808259E+03   0.745678E-02   0.142085E-04   0.148759E+01
     8   0.798124E+03   0.474705E-02   0.182747E-04   0.117459E+01
     9   0.793285E+03   0.379245E-02   0.228526E-04   0.959775E+00
    10   0.792424E+03   0.325010E-02   0.279434E-04   0.833614E+00
    11   0.794204E+03   0.272279E-02   0.335484E-04   0.779830E+00
    12   0.799080E+03   0.232425E-02   0.396688E-04   0.779424E+00
    13   0.805407E+03   0.216900E-02   0.463061E-04   0.813986E+00
    14   0.812880E+03   0.221022E-02   0.534618E-04   0.863912E+00
    15   0.820513E+03   0.235125E-02   0.611374E-04   0.915131E+00
    16   0.830061E+03   0.255462E-02   0.693345E-04   0.968308E+00
    17   0.841343E+03   0.285475E-02   0.780547E-04   0.102182E+01
    18   0.853204E+03   0.329329E-02   0.872996E-04   0.107564E+01
    19   0.866430E+03   0.388720E-02   0.970710E-04   0.113568E+01
    20   0.879439E+03   0.462547E-02   0.107370E-03   0.119851E+01
    21   0.892933E+03   0.549032E-02   0.118199E-03   0.126434E+01
    22   0.906935E+03   0.648069E-02   0.129560E-03   0.132980E+01
    23   0.921037E+03   0.759696E-02   0.141453E-03   0.139687E+01
    24   0.935541E+03   0.884419E-02   0.153880E-03   0.146700E+01
    25   0.950617E+03   0.102136E-01   0.166843E-03   0.152954E+01
    26   0.965810E+03   0.117053E-01   0.180343E-03   0.158453E+01
    27   0.981501E+03   0.133442E-01   0.194382E-03   0.163400E+01
    28   0.997484E+03   0.151362E-01   0.208960E-03   0.167489E+01
    29   0.101367E+04   0.170859E-01   0.224079E-03   0.171113E+01
    30   0.103026E+04   0.192014E-01   0.239740E-03   0.173462E+01
    31   0.104667E+04   0.214978E-01   0.255944E-03   0.175597E+01
    32   0.106373E+04   0.240146E-01   0.272691E-03   0.177087E+01
    33   0.108091E+04   0.267156E-01   0.289983E-03   0.178086E+01
    34   0.109815E+04   0.296190E-01   0.307819E-03   0.178921E+01
    35   0.111606E+04   0.327013E-01   0.326201E-03   0.178337E+01
    36   0.113375E+04   0.359654E-01   0.345128E-03   0.176978E+01
    37   0.115172E+04   0.394557E-01   0.364601E-03   0.174290E+01
    38   0.117004E+04   0.431855E-01   0.384621E-03   0.170601E+01
    39   0.118862E+04   0.471511E-01   0.405186E-03   0.166010E+01
    40   0.120740E+04   0.513474E-01   0.426298E-03   0.160457E+01
    41   0.122631E+04   0.557717E-01   0.447955E-03   0.153910E+01
    42   0.124535E+04   0.604309E-01   0.470158E-03   0.146445E+01
    43   0.126453E+04   0.653341E-01   0.492906E-03   0.138125E+01
