#           k/h    P           
   0.100000E-03   0.417359E+03
   0.102020E-03   0.425500E+03
   0.104081E-03   0.433800E+03
   0.106184E-03   0.442261E+03
   0.108329E-03   0.450888E+03
   0.110517E-03   0.459682E+03
   0.112750E-03   0.468647E+03
   0.115027E-03   0.477788E+03
   0.117351E-03   0.487106E+03
   0.119722E-03   0.496605E+03
   0.122140E-03   0.506290E+03
   0.124608E-03   0.516163E+03
   0.127125E-03   0.526228E+03
   0.129693E-03   0.536489E+03
   0.132313E-03   0.546950E+03
   0.134986E-03   0.557614E+03
   0.137713E-03   0.568486E+03
   0.140495E-03   0.579569E+03
   0.143333E-03   0.590868E+03
   0.146228E-03   0.602387E+03
   0.149182E-03   0.614129E+03
   0.152196E-03   0.626100E+03
   0.155271E-03   0.638304E+03
   0.158407E-03   0.650744E+03
   0.161607E-03   0.663427E+03
   0.164872E-03   0.676355E+03
   0.168203E-03   0.689535E+03
   0.171601E-03   0.702971E+03
   0.175067E-03   0.716668E+03
   0.178604E-03   0.730631E+03
   0.182212E-03   0.744865E+03
   0.185893E-03   0.759375E+03
   0.189648E-03   0.774166E+03
   0.193479E-03   0.789245E+03
   0.197388E-03   0.804615E+03
   0.201375E-03   0.820284E+03
   0.205443E-03   0.836256E+03
   0.209594E-03   0.852538E+03
   0.213828E-03   0.869135E+03
   0.218147E-03   0.886054E+03
   0.222554E-03   0.903300E+03
   0.227050E-03   0.920880E+03
   0.231637E-03   0.938799E+03
   0.236316E-03   0.957066E+03
   0.241090E-03   0.975685E+03
   0.245960E-03   0.994665E+03
   0.250929E-03   0.101401E+04
   0.255998E-03   0.103373E+04
   0.261170E-03   0.105383E+04
   0.266446E-03   0.107432E+04
   0.271828E-03   0.109520E+04
   0.277319E-03   0.111649E+04
   0.282922E-03   0.113818E+04
   0.288637E-03   0.116030E+04
   0.294468E-03   0.118284E+04
   0.300417E-03   0.120581E+04
   0.306485E-03   0.122922E+04
   0.312677E-03   0.125309E+04
   0.318993E-03   0.127741E+04
   0.325437E-03   0.130220E+04
   0.332012E-03   0.132746E+04
   0.338719E-03   0.135321E+04
   0.345561E-03   0.137945E+04
   0.352542E-03   0.140620E+04
   0.359664E-03   0.143345E+04
   0.366930E-03   0.146123E+04
   0.374342E-03   0.148954E+04
   0.381904E-03   0.151839E+04
   0.389619E-03   0.154778E+04
   0.397490E-03   0.157774E+04
   0.405520E-03   0.160827E+04
   0.413712E-03   0.163938E+04
   0.422070E-03   0.167108E+04
   0.430596E-03   0.170338E+04
   0.439295E-03   0.173629E+04
   0.448169E-03   0.176983E+04
   0.457222E-03   0.180400E+04
   0.466459E-03   0.183882E+04
   0.475882E-03   0.187429E+04
   0.485496E-03   0.191044E+04
   0.495303E-03   0.194726E+04
   0.505309E-03   0.198478E+04
   0.515517E-03   0.202301E+04
