#    L    TT             EE             TE             PP             TP          
     2   0.996316E+03   0.312113E-01   0.257371E+01   0.989078E+06   0.272864E+05
     3   0.941914E+03   0.406616E-01   0.290399E+01   0.152011E+07   0.324555E+05
     4   0.890025E+03   0.358400E-01   0.273697E+01   0.198934E+07   0.347793E+05
     5   0.851333E+03   0.243342E-01   0.234087E+01   0.240223E+07   0.356180E+05
     6   0.824976E+03   0.137882E-01   0.189225E+01   0.276565E+07   0.356722E+05
     7   0.808232E+03   0.744257E-02   0.148759E+01   0.308706E+07   0.353122E+05
     8   0.798089E+03   0.472878E-02   0.117459E+01   0.337240E+07   0.346752E+05
     9   0.793241E+03   0.376960E-02   0.959781E+00   0.362687E+07   0.338436E+05
    10   0.792370E+03   0.322216E-02   0.833623E+00   0.385411E+07   0.329257E+05
    11   0.794140E+03   0.268925E-02   0.779842E+00   0.405849E+07   0.320276E+05
    12   0.799005E+03   0.228459E-02   0.779441E+00   0.424096E+07   0.311463E+05
    13   0.805319E+03   0.212270E-02   0.814008E+00   0.440595E+07   0.303235E+05
    14   0.812779E+03   0.215677E-02   0.863942E+00   0.455364E+07   0.294809E+05
    15   0.820398E+03   0.229012E-02   0.915170E+00   0.468729E+07   0.286550E+05
    16   0.829932E+03   0.248530E-02   0.968357E+00   0.480744E+07   0.278184E+05
    17   0.841198E+03   0.277672E-02   0.102188E+01   0.491548E+07   0.269838E+05
    18   0.853043E+03   0.320602E-02   0.107572E+01   0.501304E+07   0.261776E+05
    19   0.866252E+03   0.379017E-02   0.113577E+01   0.510076E+07   0.254069E+05
    20   0.879244E+03   0.451816E-02   0.119862E+01   0.517916E+07   0.246740E+05
    21   0.892720E+03   0.537220E-02   0.126448E+01   0.524927E+07   0.239799E+05
    22   0.906704E+03   0.635122E-02   0.132996E+01   0.531212E+07   0.233233E+05
    23   0.920785E+03   0.745563E-02   0.139706E+01   0.536819E+07   0.226942E+05
    24   0.935270E+03   0.869047E-02   0.146722E+01   0.541787E+07   0.220829E+05
    25   0.950326E+03   0.100470E-01   0.152979E+01   0.546173E+07   0.214894E+05
    26   0.965497E+03   0.115252E-01   0.158482E+01   0.550034E+07   0.209165E+05
    27   0.981166E+03   0.131502E-01   0.163434E+01   0.553414E+07   0.203663E+05
    28   0.997128E+03   0.149277E-01   0.167527E+01   0.556348E+07   0.198398E+05
    29   0.101329E+04   0.168623E-01   0.171157E+01   0.558844E+07   0.193336E+05
    30   0.102986E+04   0.189623E-01   0.173510E+01   0.560912E+07   0.188449E+05
    31   0.104624E+04   0.212426E-01   0.175651E+01   0.562605E+07   0.183751E+05
    32   0.106329E+04   0.237428E-01   0.177148E+01   0.563973E+07   0.179267E+05
    33   0.108043E+04   0.264266E-01   0.178153E+01   0.565038E+07   0.174996E+05
    34   0.109765E+04   0.293125E-01   0.178995E+01   0.565814E+07   0.170920E+05
    35   0.111554E+04   0.323766E-01   0.178418E+01   0.566321E+07   0.166966E+05
    36   0.113320E+04   0.356221E-01   0.177067E+01   0.566579E+07   0.163074E+05
    37   0.115115E+04   0.390932E-01   0.174387E+01   0.566606E+07   0.159279E+05
    38   0.116944E+04   0.428033E-01   0.170707E+01   0.566420E+07   0.155630E+05
    39   0.118799E+04   0.467488E-01   0.166124E+01   0.566031E+07   0.152137E+05
    40   0.120675E+04   0.509244E-01   0.160580E+01   0.565451E+07   0.148802E+05
    41   0.122563E+04   0.553276E-01   0.154042E+01   0.564689E+07   0.145621E+05
    42   0.124465E+04   0.599652E-01   0.146587E+01   0.563757E+07   0.142574E+05
    43   0.126380E+04   0.648463E-01   0.138277E+01   0.562668E+07   0.139640E+05
    44   0.128313E+04   0.699778E-01   0.129014E+01   0.561432E+07   0.136794E+05
    45   0.130270E+04   0.753638E-01   0.118671E+01   0.560062E+07   0.134015E+05
    46   0.132246E+04   0.810061E-01   0.107172E+01   0.558569E+07   0.131283E+05
    47   0.134241E+04   0.869094E-01   0.944647E+00   0.556962E+07   0.128605E+05
    48   0.136252E+04   0.930719E-01   0.805024E+00   0.555248E+07   0.125990E+05
    49   0.138279E+04   0.994912E-01   0.652446E+00   0.553434E+07   0.123449E+05
    50   0.140327E+04   0.106176E+00   0.486652E+00   0.551530E+07   0.120991E+05
    51   0.142403E+04   0.113135E+00   0.307664E+00   0.549543E+07   0.118625E+05
    52   0.144501E+04   0.120370E+00   0.116435E+00   0.547477E+07   0.116344E+05
    53   0.146613E+04   0.127878E+00  -0.860573E-01   0.545338E+07   0.114142E+05
    54   0.148735E+04   0.135657E+00  -0.299695E+00   0.543132E+07   0.112010E+05
    55   0.150868E+04   0.143707E+00  -0.524729E+00   0.540862E+07   0.109939E+05
    56   0.153020E+04   0.152021E+00  -0.762039E+00   0.538534E+07   0.107925E+05
    57   0.155204E+04   0.160601E+00  -0.101245E+01   0.536151E+07   0.105967E+05
    58   0.157414E+04   0.169449E+00  -0.127610E+01   0.533715E+07   0.104068E+05
    59   0.159643E+04   0.178570E+00  -0.155284E+01   0.531231E+07   0.102231E+05
    60   0.161890E+04   0.187961E+00  -0.184209E+01   0.528700E+07   0.100459E+05
    61   0.164156E+04   0.197620E+00  -0.214335E+01   0.526126E+07   0.987519E+04
    62   0.166440E+04   0.207540E+00  -0.245671E+01   0.523513E+07   0.971039E+04
    63   0.168745E+04   0.217718E+00  -0.278243E+01   0.520865E+07   0.955061E+04
    64   0.171070E+04   0.228147E+00  -0.312076E+01   0.518189E+07   0.939500E+04
    65   0.173417E+04   0.238826E+00  -0.347202E+01   0.515487E+07   0.924271E+04
    66   0.175790E+04   0.249745E+00  -0.383650E+01   0.512764E+07   0.909305E+04
    67   0.178186E+04   0.260900E+00  -0.421365E+01   0.510024E+07   0.894594E+04
    68   0.180603E+04   0.272283E+00  -0.460271E+01   0.507267E+07   0.880146E+04
    69   0.183035E+04   0.283891E+00  -0.500293E+01   0.504496E+07   0.865969E+04
    70   0.185480E+04   0.295719E+00  -0.541375E+01   0.501714E+07   0.852072E+04
    71   0.187936E+04   0.307765E+00  -0.583497E+01   0.498922E+07   0.838467E+04
    72   0.190413E+04   0.320028E+00  -0.626753E+01   0.496121E+07   0.825184E+04
    73   0.192925E+04   0.332503E+00  -0.671248E+01   0.493311E+07   0.812256E+04
    74   0.195472E+04   0.345180E+00  -0.716976E+01   0.490492E+07   0.799716E+04
    75   0.198054E+04   0.358048E+00  -0.763901E+01   0.487666E+07   0.787599E+04
    76   0.200667E+04   0.371093E+00  -0.811974E+01   0.484832E+07   0.775926E+04
    77   0.203298E+04   0.384309E+00  -0.861053E+01   0.481992E+07   0.764673E+04
    78   0.205944E+04   0.397686E+00  -0.911094E+01   0.479148E+07   0.753801E+04
    79   0.208610E+04   0.411215E+00  -0.962082E+01   0.476301E+07   0.743275E+04
    80   0.211296E+04   0.424889E+00  -0.101402E+02   0.473455E+07   0.733057E+04
    81   0.214005E+04   0.438698E+00  -0.106688E+02   0.470610E+07   0.723114E+04
    82   0.216737E+04   0.452632E+00  -0.112063E+02   0.467768E+07   0.713418E+04
    83   0.219492E+04   0.466679E+00  -0.117526E+02   0.464930E+07   0.703948E+04
    84   0.222270E+04   0.480828E+00  -0.123071E+02   0.462098E+07   0.694679E+04
    85   0.225070E+04   0.495068E+00  -0.128696E+02   0.459272E+07   0.685590E+04
    86   0.227893E+04   0.509388E+00  -0.134398E+02   0.456454E+07   0.676659E+04
    87   0.230735E+04   0.523778E+00  -0.140171E+02   0.453644E+07   0.667884E+04
    88   0.233595E+04   0.538228E+00  -0.146011E+02   0.450844E+07   0.659263E+04
    89   0.236472E+04   0.552728E+00  -0.151913E+02   0.448054E+07   0.650796E+04
    90   0.239367E+04   0.567263E+00  -0.157874E+02   0.445274E+07   0.642482E+04
    91   0.242281E+04   0.581823E+00  -0.163890E+02   0.442506E+07   0.634321E+04
    92   0.245213E+04   0.596394E+00  -0.169959E+02   0.439749E+07   0.626310E+04
    93   0.248166E+04   0.610964E+00  -0.176077E+02   0.437003E+07   0.618446E+04
    94   0.251138E+04   0.625521E+00  -0.182241E+02   0.434270E+07   0.610726E+04
    95   0.254132E+04   0.640051E+00  -0.188447E+02   0.431549E+07   0.603147E+04
    96   0.257146E+04   0.654542E+00  -0.194692E+02   0.428841E+07   0.595707E+04
    97   0.260181E+04   0.668980E+00  -0.200971E+02   0.426146E+07   0.588402E+04
    98   0.263237E+04   0.683353E+00  -0.207280E+02   0.423464E+07   0.581229E+04
    99   0.266313E+04   0.697647E+00  -0.213615E+02   0.420796E+07   0.574185E+04
   100   0.269410E+04   0.711851E+00  -0.219972E+02   0.418141E+07   0.567268E+04
   101   0.272528E+04   0.725954E+00  -0.226345E+02   0.415501E+07   0.560474E+04
   102   0.275666E+04   0.739933E+00  -0.232733E+02   0.412875E+07   0.553801E+04
   103   0.278823E+04   0.753792E+00  -0.239127E+02   0.410264E+07   0.547245E+04
   104   0.282000E+04   0.767501E+00  -0.245525E+02   0.407668E+07   0.540804E+04
   105   0.285195E+04   0.781055E+00  -0.251921E+02   0.405087E+07   0.534474E+04
   106   0.288408E+04   0.794441E+00  -0.258310E+02   0.402522E+07   0.528253E+04
