#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.996316E+03   0.257371E+01   0.292724E-02   0.257371E+01   0.312113E-01  -0.120932E-04   0.292724E-02  -0.120932E-04   0.476805E-07
     3   0.941914E+03   0.290399E+01   0.291790E-02   0.290399E+01   0.406616E-01  -0.130803E-04   0.291790E-02  -0.130803E-04   0.579004E-07
     4   0.890025E+03   0.273697E+01   0.283831E-02   0.273697E+01   0.358400E-01  -0.111845E-04   0.283831E-02  -0.111845E-04   0.665973E-07
     5   0.851333E+03   0.234087E+01   0.273410E-02   0.234087E+01   0.243342E-01  -0.772542E-05   0.273410E-02  -0.772542E-05   0.741147E-07
     6   0.824976E+03   0.189225E+01   0.262497E-02   0.189225E+01   0.137882E-01  -0.387088E-05   0.262497E-02  -0.387088E-05   0.806525E-07
     7   0.808232E+03   0.148759E+01   0.251934E-02   0.148759E+01   0.744257E-02  -0.512020E-06   0.251934E-02  -0.512020E-06   0.863888E-07
     8   0.798089E+03   0.117459E+01   0.241614E-02   0.117459E+01   0.472878E-02   0.182446E-05   0.241614E-02   0.182446E-05   0.914476E-07
     9   0.793241E+03   0.959781E+00   0.231466E-02   0.959781E+00   0.376960E-02   0.293390E-05   0.231466E-02   0.293390E-05   0.959345E-07
    10   0.792370E+03   0.833623E+00   0.221819E-02   0.833623E+00   0.322216E-02   0.288380E-05   0.221819E-02   0.288380E-05   0.999165E-07
    11   0.794140E+03   0.779842E+00   0.213099E-02   0.779842E+00   0.268925E-02   0.200101E-05   0.213099E-02   0.200101E-05   0.103483E-06
    12   0.799005E+03   0.779441E+00   0.205080E-02   0.779441E+00   0.228459E-02   0.779811E-06   0.205080E-02   0.779811E-06   0.106639E-06
    13   0.805319E+03   0.814008E+00   0.197893E-02   0.814008E+00   0.212270E-02  -0.315913E-06   0.197893E-02  -0.315913E-06   0.109481E-06
    14   0.812779E+03   0.863942E+00   0.190924E-02   0.863942E+00   0.215677E-02  -0.103669E-05   0.190924E-02  -0.103669E-05   0.111999E-06
    15   0.820398E+03   0.915170E+00   0.184339E-02   0.915170E+00   0.229012E-02  -0.135224E-05   0.184339E-02  -0.135224E-05   0.114263E-06
    16   0.829932E+03   0.968358E+00   0.177909E-02   0.968358E+00   0.248530E-02  -0.132599E-05   0.177909E-02  -0.132599E-05   0.116279E-06
    17   0.841198E+03   0.102188E+01   0.171677E-02   0.102188E+01   0.277672E-02  -0.101770E-05   0.171677E-02  -0.101770E-05   0.118070E-06
    18   0.853043E+03   0.107572E+01   0.165777E-02   0.107572E+01   0.320602E-02  -0.511338E-06   0.165777E-02  -0.511338E-06   0.119672E-06
    19   0.866252E+03   0.113577E+01   0.160229E-02   0.113577E+01   0.379017E-02  -0.581160E-08   0.160229E-02  -0.581160E-08   0.121092E-06
    20   0.879244E+03   0.119862E+01   0.155023E-02   0.119862E+01   0.451816E-02   0.298843E-06   0.155023E-02   0.298843E-06   0.122339E-06
    21   0.892720E+03   0.126448E+01   0.150150E-02   0.126448E+01   0.537220E-02   0.312927E-06   0.150150E-02   0.312927E-06   0.123434E-06
    22   0.906704E+03   0.132996E+01   0.145587E-02   0.132996E+01   0.635122E-02   0.258390E-07   0.145587E-02   0.258390E-07   0.124396E-06
    23   0.920785E+03   0.139706E+01   0.141259E-02   0.139706E+01   0.745563E-02  -0.366978E-06   0.141259E-02  -0.366978E-06   0.125234E-06
    24   0.935270E+03   0.146722E+01   0.137095E-02   0.146722E+01   0.869047E-02  -0.657491E-06   0.137095E-02  -0.657491E-06   0.125955E-06
    25   0.950326E+03   0.152979E+01   0.133091E-02   0.152979E+01   0.100470E-01  -0.793360E-06   0.133091E-02  -0.793360E-06   0.126568E-06
    26   0.965497E+03   0.158482E+01   0.129256E-02   0.158482E+01   0.115252E-01  -0.779588E-06   0.129256E-02  -0.779588E-06   0.127086E-06
    27   0.981167E+03   0.163434E+01   0.125597E-02   0.163434E+01   0.131502E-01  -0.694869E-06   0.125597E-02  -0.694869E-06   0.127516E-06
    28   0.997128E+03   0.167527E+01   0.122115E-02   0.167527E+01   0.149277E-01  -0.614373E-06   0.122115E-02  -0.614373E-06   0.127866E-06
    29   0.101329E+04   0.171157E+01   0.118788E-02   0.171157E+01   0.168623E-01  -0.525485E-06   0.118788E-02  -0.525485E-06   0.128134E-06
    30   0.102986E+04   0.173510E+01   0.115592E-02   0.173510E+01   0.189623E-01  -0.403955E-06   0.115592E-02  -0.403955E-06   0.128323E-06
    31   0.104624E+04   0.175651E+01   0.112535E-02   0.175651E+01   0.212426E-01  -0.266776E-06   0.112535E-02  -0.266776E-06   0.128442E-06
    32   0.106329E+04   0.177148E+01   0.109628E-02   0.177148E+01   0.237428E-01  -0.148231E-06   0.109628E-02  -0.148231E-06   0.128503E-06
