#    L    TT             EE             BB             TE          
     2   0.996319E+03   0.312128E-01   0.147183E-05   0.257371E+01
     3   0.941920E+03   0.406645E-01   0.294409E-05   0.290399E+01
     4   0.890035E+03   0.358449E-01   0.490777E-05   0.273697E+01
     5   0.851348E+03   0.243415E-01   0.736342E-05   0.234087E+01
     6   0.824996E+03   0.137985E-01   0.103117E-04   0.189224E+01
     7   0.808259E+03   0.745632E-02   0.137536E-04   0.148759E+01
     8   0.798124E+03   0.474647E-02   0.176898E-04   0.117459E+01
     9   0.793285E+03   0.379172E-02   0.221215E-04   0.959775E+00
    10   0.792423E+03   0.324921E-02   0.270498E-04   0.833614E+00
    11   0.794204E+03   0.272172E-02   0.324761E-04   0.779830E+00
    12   0.799080E+03   0.232299E-02   0.384016E-04   0.779424E+00
    13   0.805406E+03   0.216752E-02   0.448277E-04   0.813986E+00
    14   0.812880E+03   0.220852E-02   0.517559E-04   0.863912E+00
    15   0.820512E+03   0.234930E-02   0.591879E-04   0.915131E+00
    16   0.830060E+03   0.255241E-02   0.671251E-04   0.968308E+00
    17   0.841342E+03   0.285227E-02   0.755691E-04   0.102182E+01
    18   0.853203E+03   0.329051E-02   0.845217E-04   0.107564E+01
    19   0.866429E+03   0.388411E-02   0.939844E-04   0.113568E+01
    20   0.879437E+03   0.462206E-02   0.103959E-03   0.119851E+01
    21   0.892932E+03   0.548657E-02   0.114447E-03   0.126434E+01
    22   0.906934E+03   0.647658E-02   0.125450E-03   0.132980E+01
    23   0.921035E+03   0.759248E-02   0.136969E-03   0.139687E+01
    24   0.935539E+03   0.883932E-02   0.149007E-03   0.146700E+01
    25   0.950616E+03   0.102083E-01   0.161564E-03   0.152954E+01
    26   0.965808E+03   0.116996E-01   0.174642E-03   0.158453E+01
    27   0.981499E+03   0.133381E-01   0.188242E-03   0.163400E+01
    28   0.997482E+03   0.151297E-01   0.202365E-03   0.167489E+01
    29   0.101367E+04   0.170789E-01   0.217013E-03   0.171113E+01
    30   0.103026E+04   0.191939E-01   0.232187E-03   0.173462E+01
    31   0.104667E+04   0.214897E-01   0.247887E-03   0.175597E+01
    32   0.106373E+04   0.240060E-01   0.264115E-03   0.177087E+01
    33   0.108090E+04   0.267065E-01   0.280870E-03   0.178086E+01
    34   0.109815E+04   0.296094E-01   0.298154E-03   0.178921E+01
    35   0.111606E+04   0.326911E-01   0.315967E-03   0.178337E+01
    36   0.113375E+04   0.359546E-01   0.334310E-03   0.176978E+01
