#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.996316E+03   0.312113E-01   0.000000E+00   0.257371E+01   0.477062E-07   0.292740E-02  -0.120932E-04
     3   0.941914E+03   0.406616E-01   0.000000E+00   0.290399E+01   0.579345E-07   0.291813E-02  -0.130803E-04
     4   0.890025E+03   0.358400E-01   0.000000E+00   0.273697E+01   0.666392E-07   0.283859E-02  -0.111845E-04
     5   0.851333E+03   0.243342E-01   0.000000E+00   0.234087E+01   0.741650E-07   0.273443E-02  -0.772542E-05
     6   0.824976E+03   0.137882E-01   0.000000E+00   0.189225E+01   0.807100E-07   0.262533E-02  -0.387087E-05
     7   0.808232E+03   0.744257E-02   0.000000E+00   0.148759E+01   0.864526E-07   0.251974E-02  -0.512012E-06
     8   0.798089E+03   0.472878E-02   0.000000E+00   0.117459E+01   0.915175E-07   0.241658E-02   0.182447E-05
     9   0.793241E+03   0.376960E-02   0.000000E+00   0.959781E+00   0.960102E-07   0.231513E-02   0.293392E-05
    10   0.792370E+03   0.322216E-02   0.000000E+00   0.833623E+00   0.999975E-07   0.221868E-02   0.288382E-05
    11   0.794140E+03   0.268925E-02   0.000000E+00   0.779842E+00   0.103569E-06   0.213150E-02   0.200103E-05
    12   0.799005E+03   0.228459E-02   0.000000E+00   0.779441E+00   0.106729E-06   0.205133E-02   0.779826E-06
    13   0.805319E+03   0.212270E-02   0.000000E+00   0.814008E+00   0.109575E-06   0.197948E-02  -0.315898E-06
    14   0.812779E+03   0.215677E-02   0.000000E+00   0.863942E+00   0.112097E-06   0.190980E-02  -0.103668E-05
    15   0.820398E+03   0.229012E-02   0.000000E+00   0.915170E+00   0.114366E-06   0.184396E-02  -0.135222E-05
    16   0.829932E+03   0.248530E-02   0.000000E+00   0.968357E+00   0.116384E-06   0.177967E-02  -0.132592E-05
    17   0.841198E+03   0.277672E-02   0.000000E+00   0.102188E+01   0.118179E-06   0.171736E-02  -0.101768E-05
    18   0.853043E+03   0.320602E-02   0.000000E+00   0.107572E+01   0.119783E-06   0.165837E-02  -0.511041E-06
    19   0.866252E+03   0.379017E-02   0.000000E+00   0.113577E+01   0.121205E-06   0.160288E-02  -0.579605E-08
    20   0.879244E+03   0.451816E-02   0.000000E+00   0.119862E+01   0.122454E-06   0.155083E-02   0.298883E-06
    21   0.892720E+03   0.537220E-02   0.000000E+00   0.126448E+01   0.123551E-06   0.150210E-02   0.312945E-06
