#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104306E-04   0.198867E+08   0.198867E+08   0.265016E+08   0.265013E+08   0.000000E+00   0.198867E+08   0.198867E+08   0.198955E+08  -0.471018E+00   0.103836E+08   0.103836E+08   0.527574E+01
   0.115223E-04   0.198866E+08   0.198866E+08   0.264986E+08   0.264982E+08   0.000000E+00   0.198866E+08   0.198866E+08   0.198955E+08  -0.471018E+00   0.103836E+08   0.103836E+08   0.582776E+01
   0.127284E-04   0.198866E+08   0.198866E+08   0.264948E+08   0.264944E+08   0.000000E+00   0.198866E+08   0.198866E+08   0.198955E+08  -0.471017E+00   0.103836E+08   0.103836E+08   0.643748E+01
   0.140606E-04   0.198866E+08   0.198866E+08   0.264902E+08   0.264897E+08   0.000000E+00   0.198866E+08   0.198866E+08   0.198955E+08  -0.471017E+00   0.103836E+08   0.103836E+08   0.711094E+01
   0.155324E-04   0.198866E+08   0.198866E+08   0.264846E+08   0.264840E+08   0.000000E+00   0.198866E+08   0.198866E+08   0.198955E+08  -0.471017E+00   0.103836E+08   0.103836E+08   0.785476E+01
   0.171581E-04   0.198866E+08   0.198866E+08   0.264778E+08   0.264770E+08   0.000000E+00   0.198866E+08   0.198866E+08   0.198955E+08  -0.471016E+00   0.103836E+08   0.103836E+08   0.867628E+01
   0.189541E-04   0.198866E+08   0.198866E+08   0.264695E+08   0.264685E+08   0.000000E+00   0.198866E+08   0.198866E+08   0.198954E+08  -0.471016E+00   0.103836E+08   0.103836E+08   0.958356E+01
   0.209380E-04   0.198866E+08   0.198866E+08   0.264594E+08   0.264582E+08   0.000000E+00   0.198866E+08   0.198866E+08   0.198954E+08  -0.471015E+00   0.103836E+08   0.103836E+08   0.105855E+02
   0.231296E-04   0.198865E+08   0.198865E+08   0.264470E+08   0.264455E+08   0.000000E+00   0.198865E+08   0.198865E+08   0.198954E+08  -0.471014E+00   0.103836E+08   0.103836E+08   0.116919E+02
   0.255506E-04   0.198865E+08   0.198865E+08   0.264319E+08   0.264301E+08   0.000000E+00   0.198865E+08   0.198865E+08   0.198954E+08  -0.471013E+00   0.103835E+08   0.103835E+08   0.129136E+02
