#    L    TT             EE             BB             TE          
     2   0.101614E+04   0.308800E-01   0.179170E-05   0.262089E+01
     3   0.962778E+03   0.396891E-01   0.358387E-05   0.293965E+01
     4   0.911427E+03   0.344973E-01   0.597416E-05   0.275825E+01
     5   0.873156E+03   0.230962E-01   0.896319E-05   0.235025E+01
     6   0.847107E+03   0.129530E-01   0.125517E-04   0.189416E+01
     7   0.830637E+03   0.700102E-02   0.167407E-04   0.148891E+01
     8   0.820832E+03   0.450150E-02   0.215311E-04   0.117796E+01
     9   0.816339E+03   0.360307E-02   0.269241E-04   0.966767E+00
    10   0.815722E+03   0.307442E-02   0.329210E-04   0.847370E+00
    11   0.817601E+03   0.259559E-02   0.395232E-04   0.802407E+00
    12   0.822707E+03   0.227775E-02   0.467321E-04   0.812911E+00
    13   0.829145E+03   0.219474E-02   0.545494E-04   0.855268E+00
    14   0.836746E+03   0.228621E-02   0.629766E-04   0.908411E+00
    15   0.844465E+03   0.247084E-02   0.720155E-04   0.964812E+00
    16   0.854081E+03   0.272861E-02   0.816678E-04   0.102599E+01
    17   0.865442E+03   0.310214E-02   0.919352E-04   0.108941E+01
    18   0.877404E+03   0.363509E-02   0.102820E-03   0.115382E+01
    19   0.890727E+03   0.433107E-02   0.114323E-03   0.122241E+01
    20   0.903799E+03   0.516759E-02   0.126447E-03   0.129014E+01
    21   0.917318E+03   0.613818E-02   0.139193E-03   0.136161E+01
    22   0.931311E+03   0.725376E-02   0.152563E-03   0.143716E+01
    23   0.945393E+03   0.850651E-02   0.166559E-03   0.151413E+01
    24   0.959885E+03   0.989353E-02   0.181183E-03   0.158909E+01
    25   0.974919E+03   0.114194E-01   0.196436E-03   0.165427E+01
    26   0.990006E+03   0.130965E-01   0.212319E-03   0.171333E+01
    27   0.100555E+04   0.149357E-01   0.228834E-03   0.176708E+01
    28   0.102139E+04   0.169309E-01   0.245983E-03   0.181074E+01
    29   0.103744E+04   0.191084E-01   0.263766E-03   0.184936E+01
    30   0.105390E+04   0.214968E-01   0.282184E-03   0.187630E+01
    31   0.107015E+04   0.240924E-01   0.301240E-03   0.190235E+01
    32   0.108700E+04   0.269111E-01   0.320932E-03   0.192243E+01
    33   0.110394E+04   0.299127E-01   0.341263E-03   0.193504E+01
    34   0.112094E+04   0.331224E-01   0.362233E-03   0.194121E+01
    35   0.113857E+04   0.365473E-01   0.383842E-03   0.193178E+01
    36   0.115594E+04   0.402159E-01   0.406091E-03   0.191701E+01
    37   0.117356E+04   0.441536E-01   0.428979E-03   0.189106E+01
    38   0.119155E+04   0.483484E-01   0.452507E-03   0.185595E+01
    39   0.120981E+04   0.527899E-01   0.476676E-03   0.181147E+01
    40   0.122826E+04   0.574707E-01   0.501483E-03   0.175582E+01
    41   0.124681E+04   0.623875E-01   0.526931E-03   0.168781E+01
    42   0.126546E+04   0.675533E-01   0.553017E-03   0.160841E+01
    43   0.128423E+04   0.729848E-01   0.579742E-03   0.151878E+01
    44   0.130317E+04   0.786968E-01   0.607104E-03   0.141846E+01
    45   0.132234E+04   0.847011E-01   0.635104E-03   0.130668E+01
    46   0.134171E+04   0.910049E-01   0.663740E-03   0.118311E+01
    47   0.136126E+04   0.976085E-01   0.693012E-03   0.104720E+01
    48   0.138096E+04   0.104504E+00   0.722919E-03   0.898320E+00
    49   0.140080E+04   0.111681E+00   0.753460E-03   0.735946E+00
    50   0.142085E+04   0.119143E+00   0.784633E-03   0.559673E+00
    51   0.144115E+04   0.126893E+00   0.816439E-03   0.369410E+00
    52   0.146165E+04   0.134936E+00   0.848875E-03   0.166111E+00
    53   0.148229E+04   0.143273E+00   0.881942E-03  -0.492229E-01
    54   0.150304E+04   0.151907E+00   0.915637E-03  -0.276449E+00
    55   0.152389E+04   0.160841E+00   0.949961E-03  -0.515793E+00
    56   0.154497E+04   0.170073E+00   0.984912E-03  -0.768125E+00
    57   0.156637E+04   0.179598E+00   0.102049E-02  -0.103432E+01
    58   0.158804E+04   0.189417E+00   0.105669E-02  -0.131459E+01
    59   0.160991E+04   0.199528E+00   0.109352E-02  -0.160885E+01
    60   0.163195E+04   0.209923E+00   0.113097E-02  -0.191658E+01
    61   0.165417E+04   0.220596E+00   0.116905E-02  -0.223732E+01
    62   0.167657E+04   0.231543E+00   0.120775E-02  -0.257108E+01
    63   0.169917E+04   0.242761E+00   0.124708E-02  -0.291798E+01
    64   0.172198E+04   0.254249E+00   0.128702E-02  -0.327817E+01
    65   0.174502E+04   0.266005E+00   0.132760E-02  -0.365182E+01
    66   0.176833E+04   0.278022E+00   0.136879E-02  -0.403914E+01
    67   0.179189E+04   0.290295E+00   0.141061E-02  -0.443962E+01
    68   0.181567E+04   0.302812E+00   0.145305E-02  -0.485252E+01
    69   0.183961E+04   0.315568E+00   0.149612E-02  -0.527715E+01
    70   0.186369E+04   0.328554E+00   0.153981E-02  -0.571302E+01
    71   0.188789E+04   0.341767E+00   0.158413E-02  -0.615993E+01
    72   0.191232E+04   0.355202E+00   0.162908E-02  -0.661879E+01
    73   0.193709E+04   0.368855E+00   0.167466E-02  -0.709058E+01
    74   0.196221E+04   0.382714E+00   0.172087E-02  -0.757517E+01
    75   0.198769E+04   0.396767E+00   0.176771E-02  -0.807215E+01
    76   0.201348E+04   0.411000E+00   0.181518E-02  -0.858096E+01
    77   0.203945E+04   0.425403E+00   0.186329E-02  -0.910016E+01
    78   0.206560E+04   0.439963E+00   0.191203E-02  -0.962928E+01
    79   0.209195E+04   0.454669E+00   0.196142E-02  -0.101682E+02
    80   0.211854E+04   0.469509E+00   0.201144E-02  -0.107168E+02
    81   0.214539E+04   0.484473E+00   0.206211E-02  -0.112749E+02
    82   0.217250E+04   0.499550E+00   0.211343E-02  -0.118422E+02
    83   0.219986E+04   0.514728E+00   0.216540E-02  -0.124183E+02
    84   0.222746E+04   0.529998E+00   0.221801E-02  -0.130026E+02
    85   0.225530E+04   0.545347E+00   0.227129E-02  -0.135950E+02
    86   0.228338E+04   0.560766E+00   0.232522E-02  -0.141950E+02
    87   0.231166E+04   0.576242E+00   0.237981E-02  -0.148019E+02
    88   0.234012E+04   0.591761E+00   0.243506E-02  -0.154153E+02
    89   0.236878E+04   0.607312E+00   0.249098E-02  -0.160347E+02
    90   0.239763E+04   0.622876E+00   0.254757E-02  -0.166599E+02
    91   0.242669E+04   0.638441E+00   0.260483E-02  -0.172904E+02
    92   0.245595E+04   0.653991E+00   0.266277E-02  -0.179258E+02
    93   0.248544E+04   0.669512E+00   0.272139E-02  -0.185658E+02
    94   0.251514E+04   0.684992E+00   0.278070E-02  -0.192101E+02
    95   0.254506E+04   0.700414E+00   0.284069E-02  -0.198581E+02
    96   0.257521E+04   0.715766E+00   0.290137E-02  -0.205095E+02
    97   0.260559E+04   0.731032E+00   0.296274E-02  -0.211638E+02
    98   0.263619E+04   0.746198E+00   0.302481E-02  -0.218206E+02
    99   0.266700E+04   0.761249E+00   0.308758E-02  -0.224793E+02
   100   0.269803E+04   0.776173E+00   0.315106E-02  -0.231395E+02
   101   0.272928E+04   0.790957E+00   0.321524E-02  -0.238006E+02
