#    L    TT             EE             TE             PP             TP          
     2   0.101614E+04   0.308782E-01   0.262089E+01   0.104165E+07   0.278559E+05
     3   0.962772E+03   0.396855E-01   0.293965E+01   0.160421E+07   0.332316E+05
     4   0.911416E+03   0.344913E-01   0.275825E+01   0.210282E+07   0.356930E+05
     5   0.873140E+03   0.230873E-01   0.235026E+01   0.254294E+07   0.366245E+05
     6   0.847084E+03   0.129404E-01   0.189416E+01   0.293158E+07   0.367361E+05
     7   0.830606E+03   0.698428E-02   0.148892E+01   0.327640E+07   0.364160E+05
     8   0.820792E+03   0.447997E-02   0.117797E+01   0.358347E+07   0.358220E+05
     9   0.816290E+03   0.357615E-02   0.966774E+00   0.385817E+07   0.350301E+05
    10   0.815662E+03   0.304150E-02   0.847380E+00   0.410427E+07   0.341299E+05
    11   0.817530E+03   0.255607E-02   0.802421E+00   0.432632E+07   0.332281E+05
    12   0.822624E+03   0.223102E-02   0.812931E+00   0.452523E+07   0.323420E+05
    13   0.829048E+03   0.214019E-02   0.855294E+00   0.470570E+07   0.315335E+05
    14   0.836635E+03   0.222324E-02   0.908446E+00   0.486786E+07   0.307078E+05
    15   0.844338E+03   0.239884E-02   0.964857E+00   0.501514E+07   0.298828E+05
    16   0.853937E+03   0.264697E-02   0.102605E+01   0.514809E+07   0.290256E+05
    17   0.865281E+03   0.301024E-02   0.108948E+01   0.526816E+07   0.281679E+05
    18   0.877226E+03   0.353231E-02   0.115391E+01   0.537706E+07   0.273547E+05
    19   0.890530E+03   0.421680E-02   0.122252E+01   0.547545E+07   0.265879E+05
    20   0.903583E+03   0.504122E-02   0.129028E+01   0.556388E+07   0.258587E+05
    21   0.917081E+03   0.599909E-02   0.136177E+01   0.564343E+07   0.251601E+05
    22   0.931054E+03   0.710133E-02   0.143735E+01   0.571518E+07   0.244867E+05
    23   0.945115E+03   0.834013E-02   0.151435E+01   0.577965E+07   0.238376E+05
    24   0.959584E+03   0.971257E-02   0.158935E+01   0.583724E+07   0.232131E+05
    25   0.974596E+03   0.112233E-01   0.165457E+01   0.588854E+07   0.226133E+05
    26   0.989660E+03   0.128846E-01   0.171368E+01   0.593416E+07   0.220372E+05
    27   0.100518E+04   0.147073E-01   0.176747E+01   0.597458E+07   0.214801E+05
    28   0.102100E+04   0.166855E-01   0.181118E+01   0.601016E+07   0.209384E+05
    29   0.103702E+04   0.188454E-01   0.184986E+01   0.604098E+07   0.204161E+05
