#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.101614E+04   0.262089E+01   0.298833E-02   0.262089E+01   0.308782E-01  -0.122360E-04   0.298833E-02  -0.122360E-04   0.502150E-07
     3   0.962771E+03   0.293965E+01   0.298768E-02   0.293965E+01   0.396855E-01  -0.131246E-04   0.298768E-02  -0.131246E-04   0.611036E-07
     4   0.911416E+03   0.275825E+01   0.291288E-02   0.275825E+01   0.344913E-01  -0.111107E-04   0.291288E-02  -0.111107E-04   0.703964E-07
     5   0.873140E+03   0.235026E+01   0.281137E-02   0.235026E+01   0.230873E-01  -0.757296E-05   0.281137E-02  -0.757296E-05   0.784559E-07
     6   0.847084E+03   0.189416E+01   0.270325E-02   0.189416E+01   0.129404E-01  -0.368174E-05   0.270325E-02  -0.368174E-05   0.854914E-07
     7   0.830606E+03   0.148892E+01   0.259809E-02   0.148892E+01   0.698428E-02  -0.330907E-06   0.259809E-02  -0.330907E-06   0.916872E-07
     8   0.820792E+03   0.117797E+01   0.249604E-02   0.117797E+01   0.447997E-02   0.191001E-05   0.249604E-02   0.191001E-05   0.971711E-07
     9   0.816290E+03   0.966774E+00   0.239580E-02   0.966774E+00   0.357615E-02   0.283597E-05   0.239580E-02   0.283597E-05   0.102053E-06
    10   0.815662E+03   0.847380E+00   0.229931E-02   0.847380E+00   0.304150E-02   0.262409E-05   0.229931E-02   0.262409E-05   0.106402E-06
    11   0.817530E+03   0.802421E+00   0.221087E-02   0.802421E+00   0.255607E-02   0.171735E-05   0.221087E-02   0.171735E-05   0.110312E-06
    12   0.822624E+03   0.812931E+00   0.212953E-02   0.812931E+00   0.223102E-02   0.584367E-06   0.212953E-02   0.584367E-06   0.113787E-06
    13   0.829048E+03   0.855294E+00   0.205790E-02   0.855294E+00   0.214019E-02  -0.444732E-06   0.205790E-02  -0.444732E-06   0.116929E-06
    14   0.836635E+03   0.908446E+00   0.198869E-02   0.908446E+00   0.222324E-02  -0.117782E-05   0.198869E-02  -0.117782E-05   0.119727E-06
    15   0.844338E+03   0.964857E+00   0.192238E-02   0.964857E+00   0.239884E-02  -0.148945E-05   0.192238E-02  -0.148945E-05   0.122255E-06
    16   0.853937E+03   0.102605E+01   0.185630E-02   0.102605E+01   0.264697E-02  -0.131696E-05   0.185630E-02  -0.131696E-05   0.124518E-06
    17   0.865281E+03   0.108948E+01   0.179210E-02   0.108948E+01   0.301024E-02  -0.828051E-06   0.179210E-02  -0.828051E-06   0.126542E-06
    18   0.877226E+03   0.115391E+01   0.173231E-02   0.115391E+01   0.353231E-02  -0.253170E-06   0.173231E-02  -0.253170E-06   0.128361E-06
    19   0.890530E+03   0.122252E+01   0.167677E-02   0.122252E+01   0.421680E-02   0.158091E-06   0.167677E-02   0.158091E-06   0.129987E-06
    20   0.903583E+03   0.129028E+01   0.162467E-02   0.129028E+01   0.504122E-02   0.223379E-06   0.162467E-02   0.223379E-06   0.131427E-06
    21   0.917081E+03   0.136177E+01   0.157540E-02   0.136177E+01   0.599909E-02   0.484476E-07   0.157540E-02   0.484476E-07   0.132702E-06
    22   0.931054E+03   0.143735E+01   0.152849E-02   0.143735E+01   0.710133E-02  -0.205957E-06   0.152849E-02  -0.205957E-06   0.133834E-06
    23   0.945115E+03   0.151435E+01   0.148375E-02   0.151435E+01   0.834013E-02  -0.447237E-06   0.148375E-02  -0.447237E-06   0.134833E-06
    24   0.959584E+03   0.158935E+01   0.144112E-02   0.158935E+01   0.971257E-02  -0.618563E-06   0.144112E-02  -0.618563E-06   0.135704E-06
    25   0.974596E+03   0.165457E+01   0.140052E-02   0.165457E+01   0.112233E-01  -0.738039E-06   0.140052E-02  -0.738039E-06   0.136459E-06
    26   0.989660E+03   0.171368E+01   0.136181E-02   0.171368E+01   0.128846E-01  -0.824874E-06   0.136181E-02  -0.824874E-06   0.137110E-06
