#    L    TT             EE             BB             TE          
     2   0.101612E+04   0.308799E-01   0.170574E-05   0.262076E+01
     3   0.962764E+03   0.396889E-01   0.341195E-05   0.293954E+01
     4   0.911417E+03   0.344970E-01   0.568763E-05   0.275818E+01
     5   0.873150E+03   0.230958E-01   0.853339E-05   0.235022E+01
     6   0.847103E+03   0.129524E-01   0.119500E-04   0.189414E+01
     7   0.830634E+03   0.700022E-02   0.159384E-04   0.148890E+01
     8   0.820829E+03   0.450047E-02   0.204995E-04   0.117796E+01
     9   0.816337E+03   0.360178E-02   0.256346E-04   0.966783E+00
    10   0.815720E+03   0.307285E-02   0.313450E-04   0.847376E+00
    11   0.817600E+03   0.259368E-02   0.376319E-04   0.802396E+00
    12   0.822707E+03   0.227549E-02   0.444970E-04   0.812882E+00
    13   0.829143E+03   0.219214E-02   0.519417E-04   0.855264E+00
    14   0.836744E+03   0.228320E-02   0.599677E-04   0.908443E+00
    15   0.844463E+03   0.246738E-02   0.685766E-04   0.964825E+00
    16   0.854079E+03   0.272470E-02   0.777703E-04   0.102598E+01
    17   0.865440E+03   0.309776E-02   0.875505E-04   0.108939E+01
    18   0.877402E+03   0.363020E-02   0.979190E-04   0.115381E+01
    19   0.890725E+03   0.432564E-02   0.108878E-03   0.122242E+01
    20   0.903796E+03   0.516158E-02   0.120428E-03   0.129017E+01
    21   0.917315E+03   0.613156E-02   0.132572E-03   0.136164E+01
    22   0.931308E+03   0.724652E-02   0.145312E-03   0.143716E+01
    23   0.945390E+03   0.849862E-02   0.158649E-03   0.151409E+01
    24   0.959882E+03   0.988494E-02   0.172584E-03   0.158908E+01
    25   0.974916E+03   0.114101E-01   0.187120E-03   0.165429E+01
    26   0.990002E+03   0.130864E-01   0.202258E-03   0.171335E+01
    27   0.100555E+04   0.149249E-01   0.217999E-03   0.176707E+01
    28   0.102139E+04   0.169194E-01   0.234344E-03   0.181074E+01
    29   0.103744E+04   0.190961E-01   0.251295E-03   0.184937E+01
    30   0.105389E+04   0.214834E-01   0.268854E-03   0.187631E+01
    31   0.107014E+04   0.240779E-01   0.287020E-03   0.190234E+01
    32   0.108700E+04   0.268959E-01   0.305795E-03   0.192242E+01
    33   0.110393E+04   0.298969E-01   0.325179E-03   0.193504E+01
    34   0.112093E+04   0.331058E-01   0.345173E-03   0.194125E+01
    35   0.113857E+04   0.365295E-01   0.365778E-03   0.193185E+01
    36   0.115593E+04   0.401966E-01   0.386994E-03   0.191705E+01
    37   0.117355E+04   0.441329E-01   0.408821E-03   0.189106E+01
    38   0.119154E+04   0.483266E-01   0.431259E-03   0.185591E+01
    39   0.120980E+04   0.527673E-01   0.454308E-03   0.181140E+01
    40   0.122825E+04   0.574473E-01   0.477968E-03   0.175575E+01
    41   0.124680E+04   0.623632E-01   0.502239E-03   0.168774E+01
    42   0.126546E+04   0.675278E-01   0.527120E-03   0.160836E+01
    43   0.128423E+04   0.729581E-01   0.552610E-03   0.151875E+01
    44   0.130316E+04   0.786687E-01   0.578710E-03   0.141846E+01
