#    L    TT             EE             TE             PP             TP          
     2   0.101612E+04   0.308782E-01   0.262076E+01   0.104143E+07   0.278563E+05
     3   0.962758E+03   0.396855E-01   0.293954E+01   0.160365E+07   0.332318E+05
     4   0.911406E+03   0.344913E-01   0.275818E+01   0.210195E+07   0.356928E+05
     5   0.873134E+03   0.230873E-01   0.235022E+01   0.254183E+07   0.366241E+05
     6   0.847080E+03   0.129404E-01   0.189414E+01   0.293015E+07   0.367354E+05
     7   0.830604E+03   0.698428E-02   0.148890E+01   0.327459E+07   0.364151E+05
     8   0.820790E+03   0.447997E-02   0.117797E+01   0.358128E+07   0.358207E+05
     9   0.816288E+03   0.357614E-02   0.966789E+00   0.385562E+07   0.350286E+05
    10   0.815661E+03   0.304151E-02   0.847386E+00   0.410135E+07   0.341284E+05
    11   0.817529E+03   0.255605E-02   0.802410E+00   0.432303E+07   0.332266E+05
    12   0.822624E+03   0.223100E-02   0.812901E+00   0.452160E+07   0.323403E+05
    13   0.829047E+03   0.214021E-02   0.855291E+00   0.470173E+07   0.315315E+05
    14   0.836634E+03   0.222324E-02   0.908478E+00   0.486355E+07   0.307055E+05
    15   0.844337E+03   0.239881E-02   0.964870E+00   0.501049E+07   0.298805E+05
    16   0.853937E+03   0.264695E-02   0.102604E+01   0.514311E+07   0.290233E+05
    17   0.865281E+03   0.301024E-02   0.108946E+01   0.526285E+07   0.281654E+05
    18   0.877226E+03   0.353232E-02   0.115390E+01   0.537143E+07   0.273521E+05
    19   0.890530E+03   0.421682E-02   0.122252E+01   0.546951E+07   0.265850E+05
    20   0.903583E+03   0.504123E-02   0.129030E+01   0.555763E+07   0.258557E+05
    21   0.917081E+03   0.599909E-02   0.136180E+01   0.563687E+07   0.251570E+05
    22   0.931054E+03   0.710134E-02   0.143734E+01   0.570831E+07   0.244836E+05
    23   0.945115E+03   0.834014E-02   0.151431E+01   0.577247E+07   0.238344E+05
    24   0.959584E+03   0.971257E-02   0.158934E+01   0.582977E+07   0.232098E+05
    25   0.974596E+03   0.112233E-01   0.165459E+01   0.588078E+07   0.226098E+05
    26   0.989659E+03   0.128845E-01   0.171369E+01   0.592611E+07   0.220335E+05
    27   0.100518E+04   0.147073E-01   0.176746E+01   0.596625E+07   0.214763E+05
    28   0.102100E+04   0.166856E-01   0.181118E+01   0.600154E+07   0.209345E+05
    29   0.103702E+04   0.188455E-01   0.184987E+01   0.603208E+07   0.204122E+05
    30   0.105345E+04   0.212154E-01   0.187687E+01   0.605797E+07   0.199137E+05
    31   0.106968E+04   0.237919E-01   0.190296E+01   0.607976E+07   0.194377E+05
    32   0.108651E+04   0.265913E-01   0.192311E+01   0.609800E+07   0.189813E+05
    33   0.110342E+04   0.295731E-01   0.193581E+01   0.611293E+07   0.185420E+05
    34   0.112039E+04   0.327624E-01   0.194210E+01   0.612468E+07   0.181172E+05
    35   0.113800E+04   0.361658E-01   0.193278E+01   0.613347E+07   0.177033E+05
    36   0.115533E+04   0.398120E-01   0.191807E+01   0.613952E+07   0.172986E+05
    37   0.117293E+04   0.437269E-01   0.189217E+01   0.614302E+07   0.169097E+05
    38   0.119089E+04   0.478987E-01   0.185712E+01   0.614416E+07   0.165430E+05
    39   0.120912E+04   0.523169E-01   0.181271E+01   0.614305E+07   0.161951E+05
    40   0.122754E+04   0.569738E-01   0.175716E+01   0.613980E+07   0.158604E+05
    41   0.124606E+04   0.618661E-01   0.168926E+01   0.613454E+07   0.155342E+05
    42   0.126468E+04   0.670066E-01   0.160998E+01   0.612738E+07   0.152157E+05
    43   0.128343E+04   0.724123E-01   0.152049E+01   0.611846E+07   0.149052E+05
    44   0.130233E+04   0.780979E-01   0.142030E+01   0.610790E+07   0.146028E+05
    45   0.132147E+04   0.840752E-01   0.130866E+01   0.609582E+07   0.143090E+05
    46   0.134081E+04   0.903516E-01   0.118522E+01   0.608236E+07   0.140238E+05
    47   0.136032E+04   0.969273E-01   0.104942E+01   0.606759E+07   0.137469E+05
    48   0.138000E+04   0.103794E+00   0.900656E+00   0.605161E+07   0.134780E+05
    49   0.139981E+04   0.110943E+00   0.738391E+00   0.603451E+07   0.132167E+05
    50   0.141982E+04   0.118376E+00   0.562223E+00   0.601636E+07   0.129626E+05
    51   0.144009E+04   0.126096E+00   0.372062E+00   0.599725E+07   0.127155E+05
    52   0.146056E+04   0.134109E+00   0.168862E+00   0.597724E+07   0.124757E+05
    53   0.148116E+04   0.142415E+00  -0.463753E-01   0.595638E+07   0.122435E+05
    54   0.150188E+04   0.151018E+00  -0.273507E+00   0.593473E+07   0.120192E+05
    55   0.152271E+04   0.159920E+00  -0.512759E+00   0.591234E+07   0.118033E+05
    56   0.154375E+04   0.169120E+00  -0.765002E+00   0.588927E+07   0.115958E+05
    57   0.156511E+04   0.178614E+00  -0.103112E+01   0.586555E+07   0.113961E+05
    58   0.158676E+04   0.188400E+00  -0.131131E+01   0.584121E+07   0.112033E+05
    59   0.160859E+04   0.198478E+00  -0.160549E+01   0.581628E+07   0.110165E+05
    60   0.163060E+04   0.208840E+00  -0.191316E+01   0.579081E+07   0.108348E+05
    61   0.165278E+04   0.219480E+00  -0.223386E+01   0.576481E+07   0.106573E+05
    62   0.167515E+04   0.230393E+00  -0.256758E+01   0.573834E+07   0.104837E+05
    63   0.169771E+04   0.241578E+00  -0.291446E+01   0.571146E+07   0.103134E+05
    64   0.172049E+04   0.253031E+00  -0.327464E+01   0.568421E+07   0.101461E+05
    65   0.174350E+04   0.264753E+00  -0.364830E+01   0.565664E+07   0.998130E+04
    66   0.176677E+04   0.276736E+00  -0.403565E+01   0.562879E+07   0.981890E+04
    67   0.179030E+04   0.288974E+00  -0.443617E+01   0.560071E+07   0.965941E+04
    68   0.181404E+04   0.301456E+00  -0.484913E+01   0.557241E+07   0.950360E+04
    69   0.183795E+04   0.314176E+00  -0.527384E+01   0.554392E+07   0.935220E+04
    70   0.186200E+04   0.327127E+00  -0.570981E+01   0.551526E+07   0.920598E+04
    71   0.188616E+04   0.340304E+00  -0.615684E+01   0.548645E+07   0.906548E+04
    72   0.191056E+04   0.353704E+00  -0.661585E+01   0.545750E+07   0.893036E+04
    73   0.193529E+04   0.367321E+00  -0.708780E+01   0.542842E+07   0.880008E+04
    74   0.196038E+04   0.381145E+00  -0.757259E+01   0.539920E+07   0.867410E+04
    75   0.198583E+04   0.395162E+00  -0.806979E+01   0.536986E+07   0.855186E+04
    76   0.201159E+04   0.409360E+00  -0.857885E+01   0.534040E+07   0.843284E+04
    77   0.203753E+04   0.423727E+00  -0.909832E+01   0.531084E+07   0.831661E+04
    78   0.206364E+04   0.438251E+00  -0.962776E+01   0.528119E+07   0.820279E+04
    79   0.208996E+04   0.452921E+00  -0.101670E+02   0.525149E+07   0.809095E+04
    80   0.211652E+04   0.467726E+00  -0.107160E+02   0.522175E+07   0.798070E+04
    81   0.214333E+04   0.482653E+00  -0.112745E+02   0.519199E+07   0.787175E+04
    82   0.217042E+04   0.497694E+00  -0.118422E+02   0.516223E+07   0.776421E+04
    83   0.219775E+04   0.512837E+00  -0.124188E+02   0.513249E+07   0.765831E+04
    84   0.222532E+04   0.528071E+00  -0.130036E+02   0.510276E+07   0.755428E+04
    85   0.225313E+04   0.543384E+00  -0.135966E+02   0.507308E+07   0.745234E+04
    86   0.228118E+04   0.558767E+00  -0.141971E+02   0.504346E+07   0.735268E+04
    87   0.230944E+04   0.574207E+00  -0.148047E+02   0.501389E+07   0.725531E+04
    88   0.233787E+04   0.589690E+00  -0.154188E+02   0.498440E+07   0.716021E+04
    89   0.236650E+04   0.605205E+00  -0.160389E+02   0.495499E+07   0.706736E+04
    90   0.239533E+04   0.620733E+00  -0.166649E+02   0.492566E+07   0.697673E+04
