#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.101612E+04   0.262076E+01   0.298836E-02   0.262076E+01   0.308782E-01  -0.122358E-04   0.298836E-02  -0.122358E-04   0.502042E-07
     3   0.962758E+03   0.293954E+01   0.298769E-02   0.293954E+01   0.396855E-01  -0.131243E-04   0.298769E-02  -0.131243E-04   0.610824E-07
     4   0.911406E+03   0.275818E+01   0.291286E-02   0.275818E+01   0.344913E-01  -0.111103E-04   0.291286E-02  -0.111103E-04   0.703672E-07
     5   0.873134E+03   0.235022E+01   0.281134E-02   0.235022E+01   0.230873E-01  -0.757256E-05   0.281134E-02  -0.757256E-05   0.784216E-07
     6   0.847080E+03   0.189414E+01   0.270321E-02   0.189414E+01   0.129404E-01  -0.368163E-05   0.270321E-02  -0.368163E-05   0.854499E-07
     7   0.830604E+03   0.148890E+01   0.259802E-02   0.148890E+01   0.698428E-02  -0.331067E-06   0.259802E-02  -0.331067E-06   0.916366E-07
     8   0.820790E+03   0.117797E+01   0.249595E-02   0.117797E+01   0.447997E-02   0.191012E-05   0.249595E-02   0.191012E-05   0.971117E-07
     9   0.816288E+03   0.966789E+00   0.239570E-02   0.966789E+00   0.357614E-02   0.283652E-05   0.239570E-02   0.283652E-05   0.101985E-06
    10   0.815661E+03   0.847386E+00   0.229921E-02   0.847386E+00   0.304151E-02   0.262437E-05   0.229921E-02   0.262437E-05   0.106326E-06
    11   0.817529E+03   0.802410E+00   0.221076E-02   0.802410E+00   0.255605E-02   0.171673E-05   0.221076E-02   0.171673E-05   0.110228E-06
    12   0.822624E+03   0.812901E+00   0.212942E-02   0.812901E+00   0.223100E-02   0.583433E-06   0.212942E-02   0.583433E-06   0.113696E-06
    13   0.829047E+03   0.855291E+00   0.205776E-02   0.855291E+00   0.214021E-02  -0.444714E-06   0.205776E-02  -0.444714E-06   0.116830E-06
    14   0.836634E+03   0.908478E+00   0.198854E-02   0.908478E+00   0.222324E-02  -0.117659E-05   0.198854E-02  -0.117659E-05   0.119621E-06
    15   0.844337E+03   0.964870E+00   0.192223E-02   0.964870E+00   0.239881E-02  -0.148830E-05   0.192223E-02  -0.148830E-05   0.122142E-06
    16   0.853937E+03   0.102604E+01   0.185616E-02   0.102604E+01   0.264695E-02  -0.131730E-05   0.185616E-02  -0.131730E-05   0.124397E-06
    17   0.865281E+03   0.108946E+01   0.179195E-02   0.108946E+01   0.301024E-02  -0.829534E-06   0.179195E-02  -0.829534E-06   0.126414E-06
